date,open,high,low,close,volume
2025-06-06,69.0,123.52,64.0,107.7,86641907.0
2025-06-13,132.72,138.57,101.51,133.56,110811409.0
2025-06-20,147.54,248.88,143.53,240.28,163150278.0
2025-06-27,238.46,298.99,175.6,180.43,211972160.0
2025-07-04,181.77,194.0,171.5,188.77,72634044.0
2025-07-11,193.75,215.6,182.5,187.33,74948405.0
2025-07-18,189.27,262.97,185.54,223.78,104366394.0
2025-07-25,226.4,231.88,187.5,192.86,45051994.0
2025-08-01,196.98,197.9,167.3,168.1,33348024.0
2025-08-08,172.1,172.1,149.0,159.03,33237532.0
2025-08-15,160.98,189.92,136.4,149.26,65621593.0
2025-08-22,148.69,149.45,129.1,135.04,30582405.0
2025-08-29,134.36,135.97,124.16,131.98,23557899.0
2025-09-05,128.56,131.69,108.02,114.56,24821151.0
2025-09-12,114.0,136.49,110.05,125.32,44877470.0
2025-09-19,129.9,147.7,125.08,144.14,48145133.0
2025-09-26,139.88,141.6,122.83,126.99,24546870.0
2025-10-03,129.5,156.47,127.6,145.78,45225155.0
2025-10-10,154.01,159.47,132.6,132.94,45286754.0
2025-10-17,138.06,141.38,123.09,126.49,25946548.0
2025-10-24,129.79,144.03,122.5,142.05,33263094.0
2025-10-31,146.93,147.44,122.49,126.98,26389126.0
2025-11-07,125.75,125.75,96.1,103.14,28463062.0
2025-11-14,107.8,110.54,81.38,81.89,94066973.0
2025-11-21,81.79,81.9,64.92,71.33,75174339.0
2025-11-28,72.0,81.48,68.05,79.93,46264250.0
2025-12-05,77.49,88.27,75.23,85.62,50452961.0
2025-12-12,86.95,91.3,81.34,83.47,40540190.0
2025-12-19,83.85,86.3,74.73,86.13,43129421.0
2025-12-26,87.74,91.2,79.71,81.27,21118175.0
2026-01-02,79.25,84.58,78.77,83.47,19479934.0
2026-01-09,84.58,88.06,78.85,82.9,24522079.0
2026-01-16,81.14,88.46,75.58,78.61,36736137.0
2026-01-23,75.7,77.47,69.88,71.33,21326623.0
2026-01-30,70.06,77.0,61.88,63.93,43709870.0
2026-02-06,61.5,61.87,49.9,57.04,52769898.0
2026-02-13,56.33,62.2,55.31,60.04,30799044.0
2026-02-20,59.27,65.5,57.02,63.02,22059173.0
2026-02-27,62.1,90.6,59.46,83.44,94145658.0
2026-03-06,80.8,110.12,80.23,101.91,86572990.0
2026-03-13,105.21,123.4,104.89,115.38,57042257.0
2026-03-20,120.15,136.65,119.77,126.03,60353208.0
2026-03-27,124.01,127.48,90.85,93.66,82743740.0
2026-04-03,96.26,99.46,84.27,90.26,31866589.0
2026-04-10,93.09,101.82,84.6,88.04,31527874.0
2026-04-17,86.34,111.2,86.27,105.91,41268456.0
2026-04-24,102.48,106.5,95.79,99.66,31138470.0
2026-05-01,98.56,100.01,89.91,99.7,26122547.0
2026-05-08,107.13,122.86,106.9,113.67,61893143.0
2026-05-15,118.85,140.0,105.36,114.0,80924897.0
2026-05-22,112.01,118.85,107.21,113.12,30838432.0
2026-05-29,112.24,114.44,97.69,113.0,29858926.0
2026-06-05,108.72,109.5,78.41,80.28,49787981.0
2026-06-12,84.01,87.38,77.61,77.84,33979569.0
2026-06-19,82.89,87.3,76.84,80.23,29341131.0
2026-06-26,81.25,84.86,67.36,73.57,29969743.0
2026-07-03,75.1,76.15,61.77,64.62,57929536.0
2026-07-10,64.56,72.86,61.66,66.14,45873536.0
2026-07-17,64.42,66.85,58.68,60.46,36895532.0
2026-07-24,60.95,72.68,59.96,62.36,37606539.0
2026-07-31,63.63,66.24,58.66,62.61,21916959.0
