date,open,high,low,close,volume,wap,count
2016-06-28,33.95,34.02,33.65,34.0,23944980.0,33.8572,9474
2016-06-29,34.15,34.37,34.07,34.21,24611020.0,34.20355,9236
2016-06-30,34.27,34.62,34.18,34.61,17109320.0,34.415,6849
2016-07-01,34.65,35.03,34.61,34.96,16742900.0,34.89965,6393
2016-07-05,34.8,34.85,34.44,34.72,17186280.0,34.6645,6426
2016-07-06,34.5,35.08,34.45,34.89,17348540.0,34.8476,6768
2016-07-07,34.9,34.91,34.41,34.77,16867360.0,34.65145,6649
2016-07-08,34.98,35.29,34.82,35.28,19584280.0,35.12875,7767
2016-07-11,35.35,35.83,35.35,35.75,13547680.0,35.6652,5380
2016-07-12,35.99,36.15,35.8,36.03,15909100.0,36.0201,6175
2016-07-13,36.21,36.21,35.84,35.85,10696520.0,35.9789,4327
2016-07-14,36.1,36.11,35.9,36.05,11634380.0,36.02355,4612
2016-07-15,36.27,36.29,35.95,35.99,15966940.0,36.08515,5802
2016-07-18,36.14,36.81,36.06,36.69,15982960.0,36.56075,6274
2016-07-19,36.45,36.85,36.45,36.85,14782360.0,36.7112,5850
2016-07-20,36.87,37.11,36.86,37.06,15693520.0,37.0184,5985
2016-07-21,37.02,37.08,36.79,36.93,12242600.0,36.9195,5045
2016-07-22,37.08,37.16,36.83,37.14,16303360.0,37.04525,5989
2016-07-25,37.03,37.13,36.88,36.99,11281100.0,36.98335,4296
2016-07-26,36.93,37.08,36.71,36.92,14792380.0,36.8908,5756
2016-07-27,36.91,37.22,36.85,37.09,17238920.0,37.07295,6819
2016-07-28,37.34,37.43,36.96,37.3,35008000.0,37.15875,12226
2016-07-29,38.64,38.93,38.34,38.44,49974800.0,38.663,18358
2016-08-01,37.99,39.02,37.98,38.64,34828440.0,38.70975,12159
2016-08-02,38.43,38.79,38.39,38.55,23398560.0,38.5727,9021
2016-08-03,38.35,38.66,38.34,38.66,15834200.0,38.48865,6025
2016-08-04,38.65,38.7,38.44,38.58,13551900.0,38.59875,5007
2016-08-05,38.75,39.15,38.62,39.11,20193860.0,39.001,7608
2016-08-08,39.1,39.13,38.9,39.09,12157020.0,39.00485,4810
2016-08-09,39.06,39.45,39.03,39.21,15545180.0,39.29105,5578
2016-08-10,39.2,39.34,39.14,39.23,10564000.0,39.2319,3605
2016-08-11,39.22,39.49,39.15,39.24,11772780.0,39.2753,4283
2016-08-12,39.11,39.17,39.02,39.16,8377560.0,39.09585,2997
2016-08-15,39.19,39.37,39.01,39.12,10739200.0,39.14085,3950
2016-08-16,39.02,39.05,38.67,38.86,12456000.0,38.9008,4719
2016-08-17,38.83,39.04,38.68,39.0,11502480.0,38.8528,4553
2016-08-18,39.01,39.14,38.85,38.88,8055740.0,38.9685,2990
2016-08-19,38.77,38.86,38.66,38.77,10666720.0,38.7532,3697
2016-08-22,38.66,38.73,38.5,38.61,12182460.0,38.59795,4314
2016-08-23,38.77,38.82,38.59,38.6,8958240.0,38.6757,3178
2016-08-24,38.53,38.73,38.35,38.48,13016640.0,38.50265,5054
2016-08-25,38.35,38.59,38.16,38.47,11794840.0,38.43695,4746
2016-08-26,38.45,38.8,38.29,38.48,14971300.0,38.5365,5761
2016-08-29,38.45,38.75,38.33,38.61,9899880.0,38.59625,3656
2016-08-30,38.46,38.72,38.34,38.45,14524660.0,38.45285,5150
2016-08-31,38.36,38.45,38.27,38.35,11864600.0,38.3585,4636
2016-09-01,38.46,38.55,38.21,38.44,11160160.0,38.4209,4488
2016-09-02,38.65,38.7,38.42,38.57,12515800.0,38.5699,5109
2016-09-06,38.67,39.1,38.55,39.0,15460580.0,38.91025,6009
2016-09-07,39.01,39.14,38.81,39.02,10551640.0,38.94765,4260
2016-09-08,38.95,39.02,38.68,38.77,13024780.0,38.80895,5044
2016-09-09,38.51,38.66,37.98,37.98,21799340.0,38.26,8380
2016-09-12,37.76,38.51,37.7,38.45,15147500.0,38.26505,5899
2016-09-13,38.21,38.31,37.79,37.98,16145220.0,37.98615,6553
2016-09-14,37.99,38.38,37.96,38.12,13770160.0,38.1814,5453
2016-09-15,38.14,38.69,38.0,38.59,15756280.0,38.4285,6183
2016-09-16,38.48,38.49,38.23,38.44,24015480.0,38.40355,6117
2016-09-19,38.6,38.7,38.22,38.29,13562380.0,38.45285,5263
2016-09-20,38.48,38.67,38.43,38.57,11540600.0,38.56205,4693
2016-09-21,38.63,38.86,38.42,38.81,14020940.0,38.658,5065
2016-09-22,39.0,39.49,38.92,39.36,18377920.0,39.29335,7166
2016-09-23,39.33,39.45,39.21,39.35,18230580.0,39.31105,7411
2016-09-26,39.1,39.14,38.65,38.71,18417160.0,38.79315,7154
2016-09-27,38.78,39.3,38.71,39.15,13272640.0,39.10885,5191
2016-09-28,38.9,39.09,38.75,39.08,13983680.0,38.91845,5040
2016-09-29,39.07,39.29,38.71,38.75,17544560.0,38.965,6493
2016-09-30,38.82,39.05,38.7,38.86,17640780.0,38.9137,5945
2016-10-03,38.73,38.8,38.48,38.63,12834640.0,38.58255,4804
2016-10-04,38.81,38.94,38.64,38.82,15820720.0,38.78975,5987
2016-10-05,38.98,39.1,38.78,38.82,16382120.0,38.94385,5922
2016-10-06,38.95,39.02,38.78,38.84,12667440.0,38.92105,4756
2016-10-07,38.98,38.98,38.54,38.75,10670080.0,38.7268,3950
2016-10-10,38.89,39.47,38.79,39.3,14516320.0,39.26405,5496
2016-10-11,39.34,39.61,39.03,39.15,16868980.0,39.28735,6221
2016-10-12,39.24,39.41,39.1,39.31,11433820.0,39.26605,4662
2016-10-13,39.05,39.06,38.65,38.91,16308860.0,38.83835,6088
2016-10-14,39.08,39.2,38.8,38.93,9840520.0,39.0032,3685
2016-10-17,39.0,39.29,38.88,39.0,12931520.0,39.10225,4142
2016-10-18,39.38,40.08,39.28,39.76,24326500.0,39.7774,8719
2016-10-19,39.93,40.23,39.88,40.08,22136180.0,40.097,8009
2016-10-20,40.16,40.2,39.8,39.85,22301580.0,39.9626,7606
2016-10-21,39.75,39.98,39.7,39.97,15483120.0,39.8469,5352
