date,open,high,low,close,volume,wap,count
2022-12-28 14:30:00+00:00,87.49,88.52,87.43,87.96,1169843.0,87.936,5282.0
2022-12-28 14:45:00+00:00,87.97,88.14,87.55,87.75,600374.0,87.858,4140.0
2022-12-28 15:00:00+00:00,87.74,88.13,87.73,87.91,713171.0,87.895,3459.0
2022-12-28 15:15:00+00:00,87.92,88.04,87.27,87.35,593482.0,87.692,3709.0
2022-12-28 15:30:00+00:00,87.34,87.54,87.14,87.26,574966.0,87.331,3534.0
2022-12-28 15:45:00+00:00,87.27,87.3,86.8,86.81,705219.0,87.058,3926.0
2022-12-28 16:00:00+00:00,86.81,86.96,86.7,86.79,650906.0,86.858,3456.0
2022-12-28 16:15:00+00:00,86.8,86.95,86.71,86.89,444844.0,86.832,2541.0
2022-12-28 16:30:00+00:00,86.9,86.97,86.74,86.83,394161.0,86.843,2693.0
2022-12-28 16:45:00+00:00,86.83,86.83,86.64,86.67,349517.0,86.707,2243.0
2022-12-28 17:00:00+00:00,86.67,86.82,86.62,86.67,370785.0,86.72,2455.0
2022-12-28 17:15:00+00:00,86.67,86.88,86.61,86.88,407105.0,86.744,2347.0
2022-12-28 17:30:00+00:00,86.88,87.11,86.87,87.04,463763.0,86.99,2323.0
2022-12-28 17:45:00+00:00,87.04,87.31,87.03,87.25,314699.0,87.171,2004.0
2022-12-28 18:00:00+00:00,87.26,87.58,87.2,87.37,471298.0,87.402,2696.0
2022-12-28 18:15:00+00:00,87.37,87.42,87.12,87.22,330861.0,87.269,2085.0
2022-12-28 18:30:00+00:00,87.22,87.24,86.97,87.08,287175.0,87.095,1792.0
2022-12-28 18:45:00+00:00,87.08,87.15,86.9,86.92,288130.0,87.021,1768.0
2022-12-28 19:00:00+00:00,86.93,87.05,86.81,86.96,279820.0,86.938,1794.0
2022-12-28 19:15:00+00:00,86.96,86.96,86.72,86.73,300502.0,86.837,1786.0
2022-12-28 19:30:00+00:00,86.73,86.84,86.58,86.84,381601.0,86.693,2151.0
2022-12-28 19:45:00+00:00,86.83,86.91,86.56,86.59,318208.0,86.709,1956.0
2022-12-28 20:00:00+00:00,86.59,86.63,86.47,86.52,429650.0,86.557,2805.0
2022-12-28 20:15:00+00:00,86.52,86.73,86.45,86.49,412991.0,86.56,2637.0
2022-12-28 20:30:00+00:00,86.48,86.62,86.41,86.46,643217.0,86.519,3983.0
2022-12-28 20:45:00+00:00,86.45,86.61,86.37,86.43,1293742.0,86.501,8159.0
2022-12-29 14:30:00+00:00,87.01,87.92,86.99,87.8,1242380.0,87.392,4382.0
2022-12-29 14:45:00+00:00,87.79,88.07,87.69,87.96,701326.0,87.896,4058.0
2022-12-29 15:00:00+00:00,87.98,88.27,87.77,88.2,496205.0,88.076,2620.0
2022-12-29 15:15:00+00:00,88.2,88.37,88.08,88.09,530399.0,88.25,3046.0
2022-12-29 15:30:00+00:00,88.1,88.5,88.1,88.48,396660.0,88.292,2339.0
2022-12-29 15:45:00+00:00,88.48,88.74,88.43,88.69,448053.0,88.582,2312.0
2022-12-29 16:00:00+00:00,88.69,88.8,88.41,88.52,385846.0,88.562,2024.0
2022-12-29 16:15:00+00:00,88.51,88.65,88.47,88.59,329587.0,88.554,2083.0
2022-12-29 16:30:00+00:00,88.6,88.89,88.6,88.84,412724.0,88.774,2265.0
2022-12-29 16:45:00+00:00,88.84,89.11,88.83,89.01,439378.0,88.98,2153.0
2022-12-29 17:00:00+00:00,89.01,89.05,88.85,89.01,328377.0,88.951,1875.0
2022-12-29 17:15:00+00:00,89.0,89.21,88.98,89.13,315924.0,89.114,1640.0
2022-12-29 17:30:00+00:00,89.13,89.21,88.76,88.81,326496.0,88.967,2074.0
2022-12-29 17:45:00+00:00,88.8,88.89,88.74,88.81,281504.0,88.817,1772.0
2022-12-29 18:00:00+00:00,88.8,88.83,88.69,88.82,372061.0,88.776,2346.0
2022-12-29 18:15:00+00:00,88.82,88.96,88.73,88.89,359221.0,88.838,2131.0
2022-12-29 18:30:00+00:00,88.89,89.03,88.74,89.03,287252.0,88.896,1796.0
2022-12-29 18:45:00+00:00,89.04,89.08,88.91,89.06,248487.0,88.995,1403.0
2022-12-29 19:00:00+00:00,89.04,89.24,89.03,89.06,342657.0,89.147,2170.0
2022-12-29 19:15:00+00:00,89.05,89.26,89.01,89.18,328984.0,89.172,1882.0
2022-12-29 19:30:00+00:00,89.18,89.29,89.12,89.2,428463.0,89.196,2047.0
2022-12-29 19:45:00+00:00,89.2,89.29,89.0,89.08,375896.0,89.149,2104.0
2022-12-29 20:00:00+00:00,89.08,89.25,89.03,89.12,348278.0,89.138,2187.0
2022-12-29 20:15:00+00:00,89.12,89.3,89.06,89.22,455119.0,89.181,2951.0
2022-12-29 20:30:00+00:00,89.22,89.37,89.2,89.27,572422.0,89.281,3694.0
2022-12-29 20:45:00+00:00,89.26,89.3,88.86,88.92,1648173.0,89.043,9853.0
2022-12-30 14:30:00+00:00,87.37,87.67,87.1,87.54,1334689.0,87.324,4914.0
2022-12-30 14:45:00+00:00,87.52,87.63,87.03,87.44,697908.0,87.289,4308.0
2022-12-30 15:00:00+00:00,87.43,87.48,87.2,87.36,487870.0,87.301,2984.0
2022-12-30 15:15:00+00:00,87.35,87.69,87.3,87.49,491387.0,87.499,2961.0
2022-12-30 15:30:00+00:00,87.47,87.7,87.34,87.64,405756.0,87.507,2385.0
2022-12-30 15:45:00+00:00,87.62,87.97,87.58,87.71,433531.0,87.773,2418.0
2022-12-30 16:00:00+00:00,87.71,88.03,87.68,87.74,461505.0,87.852,2599.0
2022-12-30 16:15:00+00:00,87.74,87.88,87.63,87.84,335882.0,87.739,2124.0
2022-12-30 16:30:00+00:00,87.83,87.97,87.79,87.8,294387.0,87.88,1780.0
2022-12-30 16:45:00+00:00,87.81,87.92,87.69,87.84,281273.0,87.799,1640.0
2022-12-30 17:00:00+00:00,87.83,87.86,87.62,87.73,240899.0,87.731,1364.0
2022-12-30 17:15:00+00:00,87.74,87.98,87.74,87.88,235381.0,87.872,1460.0
2022-12-30 17:30:00+00:00,87.89,87.99,87.83,87.94,205989.0,87.9,1283.0
2022-12-30 17:45:00+00:00,87.95,87.99,87.77,87.97,242553.0,87.874,1536.0
2022-12-30 18:00:00+00:00,87.96,87.96,87.73,87.77,255017.0,87.835,1368.0
2022-12-30 18:15:00+00:00,87.78,87.79,87.2,87.48,460526.0,87.477,2395.0
2022-12-30 18:30:00+00:00,87.48,87.73,87.45,87.52,241646.0,87.586,1438.0
2022-12-30 18:45:00+00:00,87.54,87.68,87.46,87.65,220671.0,87.584,1389.0
2022-12-30 19:00:00+00:00,87.65,87.66,87.44,87.55,257941.0,87.545,1650.0
2022-12-30 19:15:00+00:00,87.54,87.67,87.44,87.64,229164.0,87.507,1252.0
2022-12-30 19:30:00+00:00,87.65,87.74,87.62,87.67,297239.0,87.68,1595.0
2022-12-30 19:45:00+00:00,87.67,87.82,87.6,87.69,377058.0,87.687,2409.0
2022-12-30 20:00:00+00:00,87.68,88.15,87.67,88.06,400391.0,87.957,2389.0
2022-12-30 20:15:00+00:00,88.07,88.23,87.95,87.98,436542.0,88.065,2895.0
2022-12-30 20:30:00+00:00,87.98,88.19,87.95,88.11,540680.0,88.104,3370.0
2022-12-30 20:45:00+00:00,88.11,88.83,88.09,88.76,2096263.0,88.601,12315.0
2023-01-03 14:30:00+00:00,89.85,91.55,89.82,91.06,2397628.0,90.501,11046.0
2023-01-03 14:45:00+00:00,91.06,91.25,89.97,90.04,1107908.0,90.722,6661.0
2023-01-03 15:00:00+00:00,90.05,90.22,89.19,89.31,768059.0,89.726,5111.0
2023-01-03 15:15:00+00:00,89.32,89.49,89.11,89.48,484969.0,89.342,3049.0
2023-01-03 15:30:00+00:00,89.48,89.82,89.22,89.57,398943.0,89.533,2412.0
2023-01-03 15:45:00+00:00,89.57,89.97,89.49,89.96,351711.0,89.686,2358.0
2023-01-03 16:00:00+00:00,89.96,90.04,89.38,89.45,451679.0,89.718,2624.0
2023-01-03 16:15:00+00:00,89.45,89.7,89.42,89.63,429592.0,89.563,2610.0
2023-01-03 16:30:00+00:00,89.61,89.63,89.17,89.34,339560.0,89.406,2278.0
2023-01-03 16:45:00+00:00,89.34,89.38,89.17,89.25,278897.0,89.286,1661.0
2023-01-03 17:00:00+00:00,89.24,89.48,89.13,89.34,260771.0,89.321,1684.0
2023-01-03 17:15:00+00:00,89.34,89.37,89.07,89.2,290620.0,89.22,1841.0
2023-01-03 17:30:00+00:00,89.2,89.48,89.19,89.25,263345.0,89.328,1575.0
2023-01-03 17:45:00+00:00,89.25,89.34,89.02,89.26,324825.0,89.163,2193.0
2023-01-03 18:00:00+00:00,89.27,89.35,89.12,89.13,175415.0,89.241,1203.0
2023-01-03 18:15:00+00:00,89.16,89.46,89.11,89.39,265643.0,89.283,1648.0
2023-01-03 18:30:00+00:00,89.4,89.57,89.37,89.47,283957.0,89.457,1678.0
2023-01-03 18:45:00+00:00,89.47,89.63,89.36,89.56,272886.0,89.486,1611.0
2023-01-03 19:00:00+00:00,89.56,89.82,89.45,89.71,325678.0,89.636,2153.0
2023-01-03 19:15:00+00:00,89.72,89.86,89.64,89.78,281727.0,89.752,1711.0
2023-01-03 19:30:00+00:00,89.79,89.82,89.37,89.75,370611.0,89.529,2188.0
2023-01-03 19:45:00+00:00,89.75,90.11,89.74,89.95,364229.0,89.966,2347.0
2023-01-03 20:00:00+00:00,89.95,90.1,89.82,90.07,351192.0,89.977,2452.0
2023-01-03 20:15:00+00:00,90.08,90.23,89.87,90.04,493078.0,90.054,2862.0
