date,open,high,low,close,volume
2016-07-01,33.95,35.03,33.65,34.96,82408220.0
2016-07-08,34.8,35.29,34.41,35.28,70986460.0
2016-07-15,35.35,36.29,35.35,35.99,67754620.0
2016-07-22,36.14,37.16,36.06,37.14,75004800.0
2016-07-29,37.03,38.93,36.71,38.44,128295200.0
2016-08-05,37.99,39.15,37.98,39.11,107806960.0
2016-08-12,39.1,39.49,38.9,39.16,58416540.0
2016-08-19,39.19,39.37,38.66,38.77,53420140.0
2016-08-26,38.66,38.82,38.16,38.48,60923480.0
2016-09-02,38.45,38.75,38.21,38.57,59965100.0
2016-09-09,38.67,39.14,37.98,37.98,60836340.0
2016-09-16,37.76,38.69,37.7,38.44,84834640.0
2016-09-23,38.6,39.49,38.22,39.35,75732420.0
2016-09-30,39.1,39.3,38.65,38.86,80858820.0
2016-10-07,38.73,39.1,38.48,38.75,68375000.0
2016-10-14,38.89,39.61,38.65,38.93,68968500.0
2016-10-21,39.0,40.23,38.88,39.97,97178900.0
2016-10-28,40.24,40.83,39.58,39.77,141370360.0
2016-11-04,39.83,39.84,37.53,38.1,136929600.0
2016-11-11,38.73,39.78,37.52,37.7,158199580.0
2016-11-18,37.78,38.75,36.38,38.03,134955840.0
2016-11-25,38.13,38.85,37.76,38.08,59302520.0
2016-12-02,38.0,38.98,36.85,37.52,134938260.0
2016-12-09,37.87,39.47,37.65,39.46,96004880.0
2016-12-16,39.25,40.22,39.22,39.54,120316960.0
2016-12-23,39.51,39.93,39.31,39.5,60378580.0
2016-12-30,39.53,39.89,38.52,38.59,52552540.0
2017-01-06,38.94,40.4,38.79,40.31,68369180.0
2017-01-13,40.32,40.56,39.96,40.39,72278120.0
2017-01-20,40.35,40.47,40.02,40.25,60231240.0
2017-01-27,40.36,42.1,40.19,41.17,131641440.0
2017-02-03,40.73,40.8,39.53,40.07,132518380.0
2017-02-10,40.0,40.76,39.76,40.68,65859380.0
2017-02-17,40.8,41.4,40.77,41.4,73421760.0
2017-02-24,41.45,41.67,41.14,41.43,55998420.0
2017-03-03,41.23,41.81,41.01,41.45,68830380.0
2017-03-10,41.35,42.25,41.12,42.16,66678680.0
2017-03-17,42.2,42.67,42.04,42.61,70459760.0
2017-03-24,42.5,42.68,40.44,40.72,138751640.0
2017-03-31,40.35,41.68,40.17,41.48,93525700.0
2017-04-07,41.46,42.12,41.03,41.23,83555120.0
2017-04-14,41.27,41.47,40.85,41.18,46949140.0
2017-04-21,41.25,42.26,41.22,42.16,59493920.0
2017-04-28,42.56,45.84,42.49,45.3,110301280.0
2017-05-05,45.14,46.8,45.07,46.36,100889340.0
2017-05-12,46.31,46.88,46.15,46.61,73623480.0
2017-05-19,46.65,47.16,45.91,46.7,90553980.0
2017-05-26,46.75,48.75,46.75,48.57,78744160.0
2017-06-02,48.52,48.96,48.0,48.78,89410520.0
2017-06-09,48.81,49.41,46.78,47.49,110858460.0
2017-06-16,47.0,48.06,45.76,46.99,153583440.0
2017-06-23,47.5,48.3,47.45,48.28,74502700.0
2017-06-30,48.49,48.67,45.42,45.44,150928500.0
2017-07-07,45.61,46.08,44.74,45.93,76326800.0
2017-07-14,46.09,47.85,45.98,47.8,72283080.0
2017-07-21,47.85,48.8,47.46,48.65,79874800.0
2017-07-28,48.61,49.31,46.0,47.08,176053080.0
2017-08-04,47.09,47.18,45.83,46.4,84375400.0
2017-08-11,46.46,46.79,45.28,45.72,73807100.0
2017-08-18,46.13,46.64,45.36,45.53,59591580.0
2017-08-25,45.5,46.54,45.17,45.79,59482640.0
2017-09-01,45.8,47.12,45.25,46.87,63715960.0
2017-09-08,46.65,46.85,45.96,46.33,55207000.0
2017-09-15,46.71,46.92,45.82,46.01,80004540.0
2017-09-22,46.02,46.83,45.53,46.43,67005420.0
2017-09-29,46.27,47.99,45.49,47.96,94620560.0
2017-10-06,48.0,48.97,47.39,48.94,63716640.0
2017-10-13,49.0,49.86,48.3,49.48,71330060.0
2017-10-20,49.64,49.84,48.92,49.41,58277740.0
2017-10-27,49.49,52.42,48.03,50.96,128182700.0
2017-11-03,50.7,51.63,50.38,51.62,76080760.0
2017-11-10,51.45,52.18,50.98,51.4,56416180.0
2017-11-17,51.17,51.8,50.71,50.95,53660000.0
2017-11-24,51.01,52.16,50.88,52.03,31284780.0
2017-12-01,52.0,53.12,50.1,50.51,92907840.0
2017-12-08,50.63,52.1,49.41,51.85,85780040.0
2017-12-15,51.77,53.38,51.6,53.21,90443220.0
2017-12-22,53.3,53.92,52.97,53.01,57470660.0
2017-12-29,53.0,53.0,52.24,52.32,37983400.0
2018-01-05,52.46,55.21,52.26,55.11,50324620.0
2018-01-12,55.11,56.14,54.81,56.11,61637460.0
2018-01-19,56.63,57.0,55.85,56.88,53613860.0
2018-01-26,56.87,58.99,56.76,58.79,68988920.0
2018-02-02,58.82,59.34,55.36,55.6,116698420.0
2018-02-09,54.62,55.5,49.63,51.89,174659560.0
2018-02-16,52.4,55.23,52.05,54.74,87306200.0
2018-02-23,54.53,56.7,54.43,56.34,54763760.0
2018-03-02,56.39,57.2,52.41,53.95,100546400.0
2018-03-09,53.75,58.04,53.45,58.0,72311640.0
2018-03-16,58.19,58.85,56.6,56.79,88617260.0
2018-03-23,56.06,56.1,51.06,51.08,110838360.0
2018-03-30,52.3,53.24,49.03,51.59,125749300.0
2018-04-06,51.12,52.14,49.52,50.35,112038880.0
2018-04-13,50.84,52.32,50.57,51.46,76852020.0
2018-04-20,51.85,54.71,51.34,53.65,81740100.0
2018-04-27,53.89,54.14,50.53,51.5,133327600.0
2018-05-04,51.56,52.43,50.31,52.41,84279720.0
2018-05-11,52.53,55.07,52.35,54.91,73876020.0
2018-05-18,54.98,55.54,53.03,53.32,60936700.0
2018-05-25,53.7,54.4,53.09,53.78,43579660.0
2018-06-01,53.24,56.0,52.76,55.98,83111100.0
2018-06-08,56.17,57.29,55.61,56.04,83159180.0
2018-06-15,55.93,57.77,55.93,57.61,69239560.0
2018-06-22,57.24,59.31,57.18,57.77,65851640.0
2018-06-29,57.18,57.2,54.8,55.78,63649840.0
2018-07-06,55.12,57.05,54.69,57.01,37578900.0
2018-07-13,57.35,59.77,57.05,59.44,49549320.0
2018-07-20,59.47,60.23,58.53,59.25,64953660.0
2018-07-27,59.05,63.69,59.05,61.93,123489320.0
2018-08-03,61.4,61.75,60.24,61.19,76009060.0
2018-08-10,61.25,62.83,60.79,61.88,59234940.0
2018-08-17,61.85,62.46,59.41,60.05,70158960.0
2018-08-24,60.29,61.08,59.73,61.03,45321860.0
2018-08-31,61.38,62.68,60.56,60.91,67770960.0
2018-09-07,60.28,60.65,57.6,58.24,75285580.0
2018-09-14,58.57,59.03,57.81,58.63,53092280.0
2018-09-21,58.51,59.61,57.7,58.3,75067980.0
2018-09-28,57.82,60.1,57.35,59.67,53840300.0
2018-10-05,59.99,60.5,57.26,57.87,73690420.0
2018-10-12,57.56,58.4,53.41,55.5,104394800.0
2018-10-19,55.43,56.45,53.85,54.82,78210360.0
2018-10-26,55.15,55.61,51.7,53.57,118715640.0
2018-11-02,54.12,54.85,49.79,52.89,141233360.0
2018-11-09,52.9,54.77,51.06,53.31,86582580.0
2018-11-16,53.07,53.59,51.55,53.07,81518320.0
2018-11-23,52.86,53.04,49.8,51.19,68467200.0
2018-11-30,51.92,54.78,51.7,54.72,89349820.0
2018-12-07,56.16,56.23,51.43,51.83,92707580.0
2018-12-14,51.75,54.08,51.16,52.1,80013600.0
2018-12-21,51.88,53.1,48.68,48.98,148073500.0
2018-12-28,48.7,52.78,48.51,51.85,78835940.0
2019-01-04,52.53,53.54,50.7,53.54,72469520.0
2019-01-11,53.58,54.23,52.42,52.86,86348580.0
2019-01-18,52.35,55.42,52.06,54.91,72394160.0
2019-01-25,54.4,54.7,52.99,54.55,48822800.0
2019-02-01,54.01,56.25,52.79,55.54,68042400.0
2019-02-08,55.63,57.35,54.3,54.75,119599780.0
2019-02-15,54.82,56.74,54.64,55.68,64424800.0
2019-02-22,55.52,56.17,54.63,55.52,44340760.0
2019-03-01,55.83,57.15,55.0,57.05,68310600.0
2019-03-08,57.35,58.48,56.16,57.12,67190440.0
2019-03-15,57.25,60.05,57.22,59.22,88032720.0
2019-03-22,59.17,61.59,58.87,60.27,73600680.0
2019-03-29,59.85,60.32,57.97,58.67,71481060.0
2019-04-05,59.15,60.82,59.1,60.36,47394820.0
2019-04-12,60.33,60.92,59.65,60.89,40267040.0
2019-04-19,60.9,62.1,60.46,61.82,45967080.0
2019-04-26,61.7,63.65,61.42,63.61,51042240.0
2019-05-03,63.65,64.46,57.75,59.27,165351160.0
2019-05-10,58.31,59.54,57.13,58.21,71177780.0
2019-05-17,57.07,59.41,55.83,58.12,90728220.0
2019-05-24,57.23,57.93,56.46,56.67,57551980.0
2019-05-31,56.76,57.58,55.01,55.18,53537840.0
2019-06-07,53.27,53.55,51.25,53.3,146570760.0
2019-06-14,53.65,55.1,53.38,54.27,60726420.0
2019-06-21,54.37,56.21,54.31,56.09,62920960.0
2019-06-28,55.98,56.1,53.61,54.05,72511580.0
2019-07-05,54.9,56.64,54.69,56.58,41994240.0
2019-07-12,56.26,57.65,55.36,57.25,57794840.0
2019-07-19,57.33,57.93,56.48,56.51,57581680.0
2019-07-26,56.67,63.28,56.05,62.52,97830200.0
2019-08-02,62.05,62.37,59.45,59.7,86603240.0
2019-08-09,58.54,60.25,57.01,59.4,79790680.0
2019-08-16,58.96,60.24,58.03,58.88,60898460.0
2019-08-23,59.5,60.35,57.39,57.56,47630760.0
2019-08-30,57.87,59.93,57.65,59.4,44421840.0
2019-09-06,58.92,60.65,58.16,60.25,47108700.0
2019-09-13,60.22,62.09,59.63,61.98,65636940.0
2019-09-20,61.52,62.22,60.83,61.5,54382340.0
2019-09-27,61.3,62.42,60.5,61.25,62104140.0
2019-10-04,61.07,61.56,58.12,60.45,62981600.0
