date,open,high,low,close,volume
2016-08-08,136.91,137.4,136.16,136.21,3182800
2016-08-09,136.27,137.09,135.34,136.11,3180400
2016-08-10,136.3,136.89,135.06,135.6,3438000
2016-08-11,136.31,137.5,135.17,137.04,4183300
2016-08-12,136.0,137.39,135.63,136.57,4090000
2016-08-15,137.11,137.97,136.93,137.06,6327400
2016-08-16,137.65,138.65,135.66,136.23,7286100
2016-08-17,135.5,136.47,134.75,136.15,5222200
2016-08-18,136.03,136.15,134.44,134.8,4430800
2016-08-19,134.42,135.76,134.32,135.46,3959000
2016-08-22,135.6,135.85,135.02,135.34,2752500
2016-08-23,135.93,136.55,135.93,136.22,2961100
2016-08-24,135.77,136.25,134.81,135.06,4113000
2016-08-25,134.73,136.16,134.37,135.43,3168900
2016-08-26,135.43,136.18,133.92,134.36,4193400
2016-08-29,134.86,135.3,134.58,135.24,3227700
2016-08-30,134.8,135.05,133.63,134.1,3440600
2016-08-31,133.89,134.68,133.6,134.12,4650600
2016-09-01,134.48,135.06,133.66,134.23,3851800
2016-09-02,134.77,135.88,134.55,135.15,3402600
2016-09-06,134.96,135.72,133.88,134.1,4220400
2016-09-07,133.3,133.87,132.16,132.79,4676000
2016-09-08,131.55,132.94,131.12,131.26,5019600
2016-09-09,130.64,130.89,127.73,127.74,6315000
2016-09-12,126.5,128.85,126.0,128.59,7882600
2016-09-13,127.74,128.0,125.43,125.72,6376300
2016-09-14,125.61,126.95,125.57,126.26,4313900
2016-09-15,125.97,127.64,125.71,126.96,5100700
2016-09-16,127.02,127.02,125.7,126.11,6941200
2016-09-19,126.68,127.37,126.17,126.29,4525400
2016-09-20,126.86,127.33,126.33,126.83,3627100
2016-09-21,127.52,128.59,126.55,128.11,5367400
2016-09-22,128.82,129.65,128.72,128.75,4099700
2016-09-23,128.63,129.2,127.79,127.79,4464700
2016-09-26,127.1,127.23,125.35,125.45,5338500
2016-09-27,125.8,126.99,125.36,126.82,4433600
2016-09-28,127.21,128.53,127.06,128.27,5751100
2016-09-29,128.5,130.74,127.91,127.93,5987500
2016-09-30,127.87,129.24,127.63,128.68,6044600
2016-10-03,128.2,128.82,127.97,128.5,3652700
2016-10-04,128.53,129.92,127.95,128.2,4848600
2016-10-05,128.32,129.03,127.52,127.58,4115400
2016-10-06,126.87,130.45,126.43,130.19,7472400
2016-10-07,129.83,130.41,127.88,128.31,5511900
2016-10-10,128.45,128.94,127.25,127.25,4349700
2016-10-11,126.85,127.08,125.46,125.85,5113900
2016-10-12,125.85,127.16,125.71,126.69,3545900
2016-10-13,126.25,126.66,125.17,126.29,3655700
2016-10-14,126.9,127.56,126.42,126.42,4462100
2016-10-17,126.18,126.8,124.88,125.14,3753000
2016-10-18,126.15,126.25,125.15,125.74,3563300
2016-10-19,125.76,126.09,124.51,125.89,4094800
2016-10-20,125.95,127.08,125.57,126.25,3543200
2016-10-21,125.31,126.8,125.25,126.6,3234100
2016-10-24,127.23,128.14,127.23,127.78,3824800
2016-10-25,126.27,126.27,123.29,123.34,8731900
2016-10-26,122.83,123.75,122.4,122.71,5456100
2016-10-27,122.71,123.46,121.85,122.26,4261600
2016-10-28,122.7,124.09,122.21,123.58,4497700
2016-10-31,123.35,123.5,121.62,122.01,5671500
2016-11-01,121.69,122.25,119.2,119.89,7492600
2016-11-02,119.93,121.29,119.82,120.29,4846000
2016-11-03,120.34,120.93,120.08,120.18,5113500
