date,open,high,low,close,volume,wap,count
2016-07-28,43.27,43.69,43.22,43.65,10331980.0,43.496,47408.0
2016-07-29,43.72,43.75,43.48,43.63,12854241.0,43.611,44761.0
2016-08-01,43.69,43.83,43.43,43.45,10893219.0,43.606,48625.0
2016-08-02,43.35,43.58,43.31,43.53,11441634.0,43.446,48815.0
2016-08-03,43.66,43.7,43.37,43.64,10563705.0,43.529,47213.0
2016-08-04,43.56,43.8,43.4,43.51,10088155.0,43.515,40590.0
2016-08-05,43.65,43.75,43.41,43.48,8626384.0,43.58,36893.0
2016-08-08,43.43,43.52,43.22,43.44,8680300.0,43.388,28634.0
2016-08-09,43.5,43.64,43.38,43.47,7281300.0,43.531,27620.0
2016-08-10,43.64,43.69,43.5,43.61,8412100.0,43.573,30353.0
2016-08-11,43.72,43.87,43.62,43.75,11303300.0,43.74,36707.0
2016-08-12,43.91,44.19,43.79,44.03,10928900.0,43.988,38615.0
2016-08-15,44.1,44.33,44.01,44.24,10390600.0,44.205,35926.0
2016-08-16,44.25,44.25,43.83,43.83,9706100.0,43.957,37654.0
2016-08-17,44.01,44.07,43.78,44.06,11208500.0,43.947,44579.0
2016-08-18,44.01,44.26,44.0,44.1,9144300.0,44.105,35277.0
2016-08-19,44.05,44.06,43.74,43.92,9385900.0,43.875,27955.0
2016-08-22,43.94,43.95,43.73,43.74,8687500.0,43.824,30122.0
2016-08-23,43.85,43.98,43.74,43.85,8421100.0,43.826,24754.0
2016-08-24,43.82,43.94,43.66,43.85,11508900.0,43.793,35237.0
2016-08-25,43.85,43.94,43.63,43.67,9815700.0,43.751,35434.0
2016-08-26,43.72,43.92,43.31,43.32,11824900.0,43.573,43944.0
2016-08-29,43.34,43.61,43.33,43.54,9544600.0,43.514,33557.0
2016-08-30,43.46,43.53,43.12,43.24,9720100.0,43.282,32694.0
2016-08-31,43.43,43.46,43.08,43.43,10217900.0,43.264,31731.0
2016-09-01,43.21,43.41,43.2,43.35,8457800.0,43.285,32825.0
2016-09-02,43.52,43.83,43.47,43.66,9026000.0,43.623,32218.0
2016-09-06,43.74,43.8,43.4,43.79,8600400.0,43.646,29945.0
2016-09-07,43.72,43.8,43.53,43.64,8656600.0,43.62,30812.0
2016-09-08,43.67,43.73,43.45,43.63,10020400.0,43.581,36722.0
2016-09-09,43.43,43.43,42.27,42.27,23624200.0,42.639,84562.0
2016-09-12,42.36,43.23,42.34,43.19,15932300.0,42.836,58899.0
2016-09-13,42.77,42.77,42.21,42.28,12962700.0,42.466,50348.0
2016-09-14,42.27,42.41,41.99,42.11,9823900.0,42.173,39834.0
2016-09-15,42.01,42.39,41.88,42.36,10158500.0,42.182,41890.0
2016-09-16,42.17,42.26,41.97,42.14,16354000.0,42.115,44352.0
2016-09-19,42.16,42.37,42.08,42.1,7659900.0,42.237,31302.0
2016-09-20,42.31,42.53,42.24,42.34,8407200.0,42.408,34669.0
2016-09-21,42.28,42.61,42.1,42.53,13654700.0,42.381,52282.0
2016-09-22,42.71,43.01,42.69,42.96,9288300.0,42.923,38106.0
2016-09-23,42.81,42.94,42.65,42.74,8852700.0,42.799,31538.0
2016-09-26,42.71,42.72,42.01,42.05,15036000.0,42.231,49460.0
2016-09-27,42.19,42.63,42.0,42.59,11920400.0,42.435,46511.0
2016-09-28,42.63,42.76,42.03,42.15,15523800.0,42.295,49858.0
2016-09-29,42.02,42.39,41.85,42.03,12671700.0,42.129,55022.0
2016-09-30,42.21,42.5,42.06,42.32,14375700.0,42.325,46661.0
2016-10-03,42.31,42.31,41.89,42.03,11152800.0,42.024,41147.0
2016-10-04,42.34,42.34,41.78,41.84,13682700.0,41.929,55072.0
2016-10-05,41.93,42.07,41.67,41.81,9607300.0,41.826,37357.0
2016-10-06,41.68,41.94,41.58,41.71,9722900.0,41.763,35277.0
2016-10-07,41.83,41.94,41.57,41.73,8122800.0,41.732,31811.0
2016-10-10,41.92,41.99,41.6,41.73,8983600.0,41.749,32529.0
2016-10-11,41.66,41.7,41.4,41.54,12249100.0,41.523,46750.0
2016-10-12,41.63,41.84,41.5,41.78,12216300.0,41.74,39886.0
2016-10-13,41.65,41.89,41.51,41.76,17655600.0,41.7,55201.0
2016-10-14,41.85,41.91,41.62,41.67,9893800.0,41.764,36791.0
2016-10-17,41.73,41.86,41.57,41.6,10792500.0,41.681,38188.0
2016-10-18,41.81,42.0,41.73,41.97,11297300.0,41.906,39671.0
2016-10-19,41.93,42.12,41.81,42.05,16367400.0,42.014,45878.0
2016-10-20,41.97,42.11,41.89,41.93,10620500.0,41.993,41915.0
2016-10-21,41.85,42.17,41.68,42.13,14401500.0,41.946,46678.0
2016-10-24,42.32,42.77,42.25,42.56,13439200.0,42.553,49663.0
2016-10-25,42.64,42.88,42.43,42.54,16484700.0,42.603,61100.0
2016-10-26,43.0,43.03,42.41,42.44,16886200.0,42.674,70180.0
2016-10-27,42.63,42.65,41.9,42.12,14537000.0,42.155,59512.0
2016-10-28,42.26,42.47,42.1,42.23,13398400.0,42.289,44988.0
2016-10-31,42.12,42.41,42.12,42.4,13327500.0,42.351,34512.0
2016-11-01,42.4,42.43,41.91,42.12,12223400.0,42.131,43931.0
2016-11-02,42.1,42.34,42.01,42.05,12034300.0,42.149,48977.0
2016-11-03,42.22,42.22,41.96,42.03,11258000.0,42.083,43167.0
2016-11-04,41.85,42.04,41.69,41.69,14464200.0,41.84,47192.0
2016-11-07,42.04,42.5,42.04,42.46,14038500.0,42.336,46809.0
2016-11-08,42.37,42.98,42.37,42.88,12036600.0,42.812,43606.0
2016-11-09,41.76,42.32,41.7,42.27,21351000.0,42.087,74865.0
2016-11-10,41.86,42.26,40.85,40.94,33245500.0,41.106,112864.0
2016-11-11,40.95,41.13,40.63,41.03,13421000.0,40.948,52110.0
2016-11-14,41.13,41.42,40.85,41.17,19514200.0,41.074,74270.0
2016-11-15,41.18,41.52,41.17,41.44,16554000.0,41.349,64208.0
2016-11-16,41.4,41.65,41.16,41.26,12681400.0,41.333,44288.0
2016-11-17,41.28,41.3,41.0,41.12,12398800.0,41.138,46466.0
2016-11-18,41.03,41.2,40.9,40.91,16345300.0,41.032,46772.0
2016-11-21,40.91,41.36,40.73,41.36,12307000.0,41.135,39640.0
2016-11-22,41.45,41.7,41.24,41.37,12743500.0,41.392,46667.0
2016-11-23,41.22,41.31,41.03,41.12,9281300.0,41.152,32588.0
2016-11-25,41.39,41.58,41.24,41.53,7402300.0,41.465,18807.0
2016-11-28,41.51,41.79,41.27,41.75,19424400.0,41.569,62131.0
2016-11-29,41.52,41.52,41.14,41.15,11421900.0,41.242,38573.0
2016-11-30,41.0,41.2,40.35,40.35,22410400.0,40.747,61674.0
2016-12-01,40.31,40.39,39.88,40.17,20409900.0,40.025,73481.0
2016-12-02,40.3,40.49,40.19,40.36,11176300.0,40.313,42942.0
2016-12-05,40.34,40.69,40.31,40.62,15977800.0,40.526,65036.0
2016-12-06,40.75,40.77,40.42,40.57,11303500.0,40.568,38658.0
2016-12-07,40.54,41.29,40.51,41.29,13726500.0,40.977,46333.0
2016-12-08,41.07,41.21,40.85,40.98,13077100.0,41.042,43052.0
