date,open,high,low,close,volume
2016-07-29,43.27,43.75,43.22,43.63,23186221.0
2016-08-05,43.69,43.83,43.31,43.48,51613097.0
2016-08-12,43.43,44.19,43.22,44.03,37915737.0
2016-08-19,44.1,44.33,43.74,43.92,41284897.0
2016-08-26,43.94,43.98,43.31,43.32,42493777.0
2016-09-02,43.34,43.83,43.08,43.66,37867754.0
2016-09-09,43.74,43.8,42.27,42.27,41691062.0
2016-09-16,42.36,43.23,41.88,42.14,52005944.0
2016-09-23,42.16,43.01,42.08,42.74,40287713.0
2016-09-30,42.71,42.76,41.85,42.32,56898923.0
2016-10-07,42.31,42.34,41.56,41.73,43172853.0
2016-10-14,41.92,41.99,41.4,41.67,48973709.0
2016-10-21,41.73,42.17,41.57,42.13,54238790.0
2016-10-28,42.32,43.03,41.9,42.23,62008644.0
2016-11-04,42.12,42.43,41.69,41.69,51487226.0
2016-11-11,42.04,42.98,40.63,41.03,81087127.0
2016-11-18,41.13,41.65,40.85,40.91,65046704.0
2016-11-25,40.74,41.7,40.73,41.53,32973597.0
2016-12-02,41.51,41.79,39.88,40.36,68143076.0
2016-12-09,40.34,42.22,40.31,42.0,67449159.0
2016-12-16,42.0,42.01,41.06,41.74,67487545.0
2016-12-23,41.68,41.84,41.08,41.6,38156668.0
2016-12-30,41.56,41.84,41.35,41.46,26541125.0
2017-01-06,41.5,41.97,41.28,41.74,37071137.0
2017-01-13,41.23,41.58,40.69,40.88,46218318.0
2017-01-20,40.84,41.44,40.8,41.32,37600878.0
2017-01-27,41.31,42.25,41.21,41.45,53436549.0
2017-02-03,41.3,41.79,41.2,41.54,44875632.0
2017-02-10,41.53,42.15,40.55,40.58,85509790.0
2017-02-17,40.73,41.36,40.22,41.23,107533640.0
2017-02-24,41.2,42.0,41.2,41.78,44092864.0
2017-03-03,41.75,42.56,41.58,42.48,56719187.0
2017-03-10,42.34,42.43,41.74,42.29,52474086.0
2017-03-17,41.92,42.39,41.83,42.03,68972362.0
2017-03-24,42.1,42.7,41.91,42.12,53646283.0
2017-03-31,42.11,42.65,42.05,42.44,46439045.0
2017-04-07,42.58,42.86,42.27,42.61,47516778.0
2017-04-14,42.73,43.08,42.51,42.79,33020030.0
2017-04-21,42.79,43.79,42.78,43.07,51594882.0
2017-04-28,43.24,43.43,42.82,43.15,56380558.0
2017-05-05,43.15,43.84,43.1,43.69,45254893.0
2017-05-12,43.59,43.91,43.36,43.59,34060208.0
2017-05-19,43.46,44.17,43.46,43.9,46465247.0
2017-05-26,43.89,45.56,43.81,45.39,50421176.0
2017-06-02,45.16,45.89,45.11,45.89,36252958.0
2017-06-09,45.78,46.06,44.97,45.32,43701009.0
2017-06-16,45.35,45.48,44.8,45.31,45740936.0
2017-06-23,45.35,45.87,45.03,45.25,37555000.0
2017-06-30,45.31,45.51,44.65,44.85,36022813.0
2017-07-07,45.11,45.27,44.24,44.39,27114731.0
2017-07-14,44.45,44.77,44.15,44.68,32029101.0
