date,open,high,low,close,volume,wap,count
2016-07-28,83.25,83.39,81.95,82.93,3863669.0,82.854,24136.0
2016-07-29,83.07,83.45,82.64,82.89,2014687.0,82.955,14541.0
2016-08-01,83.02,83.79,82.94,83.18,2543251.0,83.324,17116.0
2016-08-02,83.14,83.7,82.57,83.32,2688851.0,83.155,19281.0
2016-08-03,83.42,83.42,82.36,82.72,2296785.0,82.701,15174.0
2016-08-04,83.02,83.02,82.37,82.42,1692699.0,82.594,11752.0
2016-08-05,82.44,82.52,81.04,81.56,5118431.0,81.57,31712.0
2016-08-08,81.44,81.85,80.46,81.6,4227300.0,81.185,19111.0
2016-08-09,81.75,82.14,80.7,81.5,2242800.0,81.665,12761.0
2016-08-10,80.12,81.16,79.67,80.55,4956700.0,80.342,23931.0
2016-08-11,79.98,80.67,79.98,80.56,0.0,80.46,12428.0
2016-08-12,80.19,80.72,79.9,80.22,2525000.0,80.155,11588.0
2016-08-15,80.33,80.62,80.07,80.26,2780400.0,80.369,10421.0
2016-08-16,80.25,80.4,79.84,79.84,2158700.0,80.055,10754.0
2016-08-17,80.16,80.35,79.58,80.11,2519500.0,79.869,12195.0
2016-08-18,80.1,80.38,79.49,79.78,3037200.0,79.777,15388.0
2016-08-19,79.55,79.79,78.78,79.06,3745500.0,79.161,16281.0
2016-08-22,79.32,79.9,79.02,79.29,3157000.0,79.39,16714.0
2016-08-23,79.68,79.97,79.44,79.57,3406900.0,79.702,16381.0
2016-08-24,79.7,79.99,78.18,78.44,3423000.0,78.91,13534.0
2016-08-25,78.44,79.17,77.8,78.01,2800500.0,78.389,15820.0
2016-08-26,78.05,78.82,77.84,78.24,2602300.0,78.294,15074.0
2016-08-29,78.33,78.74,78.05,78.6,2203300.0,78.476,8937.0
2016-08-30,78.6,78.6,77.63,77.77,2025700.0,77.918,9919.0
2016-08-31,77.89,78.09,77.53,77.75,2182600.0,77.759,9063.0
2016-09-01,77.75,78.0,76.8,77.23,3544700.0,77.171,18526.0
2016-09-02,77.52,77.63,76.45,76.85,3943400.0,76.738,20495.0
2016-09-06,77.12,78.7,77.12,78.51,5528600.0,78.296,25229.0
2016-09-07,78.49,78.89,78.26,78.59,2971400.0,78.548,16194.0
2016-09-08,80.03,80.17,79.41,79.89,4405400.0,79.842,22650.0
2016-09-09,79.62,79.62,78.2,78.24,4152500.0,78.898,20535.0
2016-09-12,77.99,79.29,77.81,79.08,3288900.0,78.575,16554.0
2016-09-13,78.87,78.87,77.99,78.48,3149000.0,78.365,17584.0
2016-09-14,78.67,79.24,78.02,78.29,2660900.0,78.521,14909.0
2016-09-15,78.12,79.06,77.77,78.82,2652300.0,78.565,12283.0
2016-09-16,78.7,78.91,78.17,78.8,4255100.0,78.613,16845.0
2016-09-19,78.79,79.37,78.49,79.16,3321500.0,78.997,16968.0
2016-09-20,79.63,80.35,79.29,79.88,3629400.0,80.05,19987.0
2016-09-21,79.8,81.0,79.68,80.87,3147600.0,80.272,16930.0
2016-09-22,81.05,81.46,80.73,81.29,2639800.0,81.18,13070.0
2016-09-23,80.97,81.46,80.77,81.16,2197700.0,81.179,11288.0
