date,open,high,low,close,volume
2016-07-29,83.25,83.45,81.95,82.89,5878356.0
2016-08-05,83.02,83.79,81.04,81.56,14340017.0
2016-08-12,81.44,82.14,79.67,80.22,12942545.0
2016-08-19,80.33,80.62,78.78,79.06,10678293.0
2016-08-26,79.32,79.99,77.8,78.24,11847368.0
2016-09-02,78.33,78.74,76.45,76.85,10165265.0
2016-09-09,77.12,80.17,77.12,78.24,12852547.0
2016-09-16,77.99,79.29,77.77,78.8,11684418.0
2016-09-23,78.79,81.46,78.49,81.16,11806235.0
2016-09-30,80.98,81.17,79.23,80.26,14097174.0
2016-10-07,80.0,82.31,79.69,82.09,14417655.0
2016-10-14,82.13,83.24,79.21,79.27,14724860.0
2016-10-21,79.53,79.53,78.01,78.25,12797683.0
2016-10-28,78.52,78.69,73.86,74.53,20860764.0
2016-11-04,74.63,74.74,71.67,72.49,19946155.0
2016-11-11,73.22,79.7,73.05,77.67,19792505.0
2016-11-18,78.01,78.24,76.18,76.67,12748714.0
2016-11-25,76.9,77.81,64.18,69.12,59337066.0
2016-12-02,68.43,68.43,65.66,67.71,40794388.0
2016-12-09,68.16,68.31,66.39,67.85,21735127.0
2016-12-16,67.98,73.71,67.42,73.31,38165839.0
2016-12-23,73.48,74.49,72.68,73.79,17063242.0
2016-12-30,74.06,74.46,72.97,73.55,8410322.0
2017-01-06,73.94,77.87,73.54,75.67,9363712.0
2017-01-13,75.7,78.12,74.0,77.4,27021711.0
2017-01-20,77.06,77.71,75.87,76.81,12271831.0
2017-01-27,76.24,76.88,74.17,75.38,17470450.0
2017-02-03,75.09,78.57,74.0,77.23,20009940.0
2017-02-10,76.92,78.65,76.76,77.79,11552869.0
2017-02-17,77.57,81.0,77.25,80.39,12861655.0
2017-02-24,80.17,83.24,80.11,82.87,12239808.0
2017-03-03,82.83,84.14,82.58,83.78,11828240.0
2017-03-10,83.25,84.77,81.37,84.36,17747637.0
2017-03-17,84.51,86.14,83.8,83.96,14716967.0
2017-03-24,84.6,85.05,83.47,84.18,11036160.0
