date,open,high,low,close,volume,wap,count
2016-07-28,119.59,120.18,118.36,119.42,4971942.0,119.168,29295
2016-07-29,119.51,119.66,117.43,117.65,5755021.0,118.058,35575
2016-08-01,117.88,118.39,117.74,118.01,3542137.0,118.04,22343
2016-08-02,118.18,118.71,117.11,117.7,3516229.0,117.687,21525
2016-08-03,117.77,118.02,117.14,117.52,3095946.0,117.394,18572
2016-08-04,117.85,118.55,117.58,118.3,2815310.0,118.159,18259
2016-08-05,118.78,119.45,118.6,119.21,2799296.0,119.137,18768
2016-08-08,119.17,119.37,118.19,118.29,2823194.0,118.498,19143
2016-08-09,117.98,119.13,117.6,118.31,2579850.0,118.516,17906
2016-08-10,118.0,118.94,117.65,118.8,2300901.0,118.606,14751
2016-08-11,118.87,119.75,118.85,119.38,2784378.0,119.387,19119
2016-08-12,119.57,120.02,119.28,119.52,2327699.0,119.601,14694
2016-08-15,119.02,119.25,118.52,118.52,2493645.0,118.902,15301
2016-08-16,118.31,118.53,117.92,117.94,2655174.0,118.175,16455
2016-08-17,117.98,117.98,116.52,117.1,4415683.0,117.082,28170
2016-08-18,117.24,117.37,116.8,117.13,2868805.0,117.068,17760
2016-08-19,116.8,116.8,115.0,115.01,5882263.0,115.515,30962
2016-08-22,115.0,115.73,114.65,115.42,3779416.0,115.424,22900
2016-08-23,115.89,116.12,115.05,115.19,3484761.0,115.316,20630
2016-08-24,115.15,115.4,114.73,114.87,3117816.0,114.994,19396
2016-08-25,115.1,115.78,114.88,115.43,5959606.0,115.442,32964
2016-08-26,115.63,115.72,113.96,114.44,4442790.0,114.756,28790
2016-08-29,114.6,115.65,114.5,115.41,4079482.0,115.297,27535
2016-08-30,115.49,115.87,114.6,115.36,3774409.0,115.155,23539
2016-08-31,115.51,116.0,115.2,115.66,3294224.0,115.7,22254
2016-09-01,115.51,115.82,114.86,115.4,3242881.0,115.257,20092
2016-09-02,115.93,116.11,115.69,115.83,2798756.0,115.886,17304
2016-09-06,117.27,119.24,116.91,117.25,4939828.0,117.738,30288
2016-09-07,117.27,117.49,116.44,116.92,1964748.0,116.823,13436
2016-09-08,116.82,117.11,116.04,116.17,2423304.0,116.467,17235
2016-09-09,115.6,115.76,114.58,114.58,3313291.0,115.135,22438
2016-09-12,114.47,116.18,114.13,115.95,4081006.0,115.464,27195
2016-09-13,115.61,115.61,114.48,114.73,3270352.0,114.892,24050
2016-09-14,115.0,115.66,114.82,115.18,3687256.0,115.268,26999
2016-09-15,115.11,116.24,114.77,116.14,2786920.0,115.714,19582
2016-09-16,115.68,116.26,114.83,115.28,5231364.0,115.527,25634
2016-09-19,115.83,116.41,114.95,115.21,2672640.0,115.503,18138
2016-09-20,115.63,116.63,115.5,116.45,3006378.0,116.369,20571
2016-09-21,116.49,117.05,115.96,116.93,3684496.0,116.553,24053
2016-09-22,117.46,117.95,117.28,117.36,3074010.0,117.6,20462
2016-09-23,116.49,117.52,116.35,117.17,2199025.0,117.22,15014
2016-09-26,116.8,116.94,116.28,116.53,2321658.0,116.555,17231
2016-09-27,116.86,117.2,116.37,116.88,2635748.0,116.775,17968
2016-09-28,116.54,116.54,114.46,115.18,4619688.0,114.992,29435
2016-09-29,115.2,115.97,114.73,114.79,4259802.0,115.416,26787
2016-09-30,114.69,115.71,114.69,115.36,2855531.0,115.397,20102
2016-10-03,115.01,115.15,114.41,114.64,2423464.0,114.676,16584
2016-10-04,114.99,115.51,113.42,113.5,3522746.0,114.131,24662
2016-10-05,113.91,114.83,113.39,113.41,3054317.0,113.891,18961
2016-10-06,113.25,114.22,112.4,113.92,3073923.0,113.736,21429
2016-10-07,113.97,114.34,113.22,113.45,3391031.0,113.59,20534
2016-10-10,114.21,114.99,114.16,114.71,2638510.0,114.688,18828
2016-10-11,114.65,115.23,113.56,113.68,3169075.0,114.084,23039
2016-10-12,113.6,115.23,113.54,114.71,2860537.0,114.623,18016
2016-10-13,114.14,115.74,114.07,115.41,3606864.0,115.117,23912
2016-10-14,114.9,115.11,114.07,114.09,4462639.0,114.543,27024
2016-10-17,113.91,114.4,112.1,112.41,4622351.0,112.746,29101
2016-10-18,112.89,113.09,111.23,111.25,5393895.0,111.736,30379
2016-10-19,111.71,111.77,111.12,111.26,5478183.0,111.34,29557
2016-10-20,111.3,111.3,110.33,110.57,6217181.0,110.704,34115
2016-10-21,112.9,114.5,112.75,113.93,7945248.0,113.748,44458
2016-10-24,114.25,114.5,112.64,113.57,5220315.0,113.505,30246
2016-10-25,113.5,113.54,112.67,112.72,3837205.0,113.073,25991
2016-10-26,112.27,112.7,111.4,112.11,3105923.0,112.094,22178
2016-10-27,112.23,112.49,111.78,112.08,2216281.0,112.113,14692
2016-10-28,112.26,112.35,111.53,112.1,2596904.0,112.035,18220
2016-10-31,112.46,112.73,111.79,112.57,2334068.0,112.434,15681
2016-11-01,112.65,112.77,111.95,112.25,3052279.0,112.246,21363
2016-11-02,112.1,112.77,111.82,112.39,2691674.0,112.323,18613
2016-11-03,112.74,112.85,111.52,111.72,2933349.0,111.832,19258
2016-11-04,111.99,112.0,110.83,111.04,2665376.0,111.323,18159
2016-11-07,112.0,113.28,111.88,112.82,2805903.0,112.723,19068
2016-11-08,113.01,114.25,112.75,114.11,2514064.0,113.841,16784
2016-11-09,112.38,115.42,111.8,114.98,3744785.0,114.553,25308
2016-11-10,114.96,115.04,113.78,114.51,3210913.0,114.339,22695
2016-11-11,114.67,114.96,114.17,114.22,3635273.0,114.466,25634
2016-11-14,114.99,118.75,114.72,117.86,5614183.0,117.612,36093
2016-11-15,117.58,118.48,117.02,118.32,3063878.0,117.816,21592
2016-11-16,118.86,119.6,118.46,119.21,3823936.0,119.098,25689
2016-11-17,119.02,119.5,118.28,119.45,2159969.0,119.14,14520
2016-11-18,119.26,120.24,118.9,120.0,2836124.0,119.819,17522
2016-11-21,119.8,120.5,118.96,119.5,2723368.0,119.437,17541
2016-11-22,119.55,120.29,118.88,119.69,2885666.0,119.769,18413
2016-11-23,119.73,120.76,119.73,120.14,2293356.0,120.097,16085
2016-11-25,120.08,120.99,119.92,120.66,1304386.0,120.538,8939
2016-11-28,120.38,121.87,120.23,121.82,4491855.0,121.351,30256
2016-11-29,120.38,120.79,119.02,120.68,4527533.0,120.185,28805
2016-11-30,120.24,120.49,119.27,119.27,2686384.0,119.828,20039
2016-12-01,118.96,118.96,117.87,118.47,3364957.0,118.319,23447
2016-12-02,118.0,118.5,117.71,118.24,2484184.0,118.101,17754
2016-12-05,119.48,120.34,119.03,119.29,3704740.0,119.467,24751
2016-12-06,119.29,119.65,118.6,119.25,2590220.0,119.012,17674
2016-12-07,119.33,120.13,118.46,119.92,2860744.0,119.423,20239
2016-12-08,119.84,121.15,119.5,120.45,2439003.0,120.505,16676
2016-12-09,120.46,121.27,120.21,121.26,1856349.0,120.795,12590
2016-12-12,121.57,122.25,121.26,121.74,2877478.0,121.679,19959
2016-12-13,121.78,122.92,121.76,122.68,2770888.0,122.508,19075
2016-12-14,122.87,123.4,122.39,122.84,3362940.0,122.946,23841
2016-12-15,122.97,123.36,121.77,122.36,3504391.0,122.608,24779
2016-12-16,122.89,123.84,122.54,123.24,4681921.0,123.237,22165
2016-12-19,123.23,123.66,122.77,122.99,2093311.0,123.256,14227
2016-12-20,123.18,123.9,122.71,123.33,2038393.0,123.394,14305
2016-12-21,123.15,123.76,123.1,123.18,1645522.0,123.468,11485
2016-12-22,123.12,124.0,123.09,123.72,1572458.0,123.672,11282
2016-12-23,123.37,123.83,123.07,123.14,1373779.0,123.408,9154
2016-12-27,123.3,123.65,122.97,123.07,1524413.0,123.268,9802
2016-12-28,122.93,123.35,122.61,122.68,1294019.0,122.857,9482
2016-12-29,122.73,123.36,122.73,122.79,1262029.0,123.054,8904
2016-12-30,122.79,123.16,121.44,121.72,2353794.0,122.047,15846
2017-01-03,121.86,122.0,118.96,119.62,4034577.0,119.806,26113
2017-01-04,119.0,119.74,118.18,119.48,2990758.0,119.182,19474
2017-01-05,119.34,120.2,119.1,119.7,2757046.0,119.805,18114
2017-01-06,118.89,121.5,118.52,120.76,3354519.0,120.718,21078
2017-01-09,120.76,121.06,120.33,120.43,2010888.0,120.634,12778
2017-01-10,120.46,120.85,119.73,120.25,1966122.0,120.275,12782
2017-01-11,120.93,121.5,120.62,120.88,2874766.0,121.081,18933
2017-01-12,120.3,122.31,120.2,122.1,2780366.0,121.591,18582
2017-01-13,122.24,122.24,121.1,121.5,2081419.0,121.526,14695
2017-01-17,120.75,122.8,120.7,122.75,2814578.0,122.1,18178
2017-01-18,122.81,123.0,121.8,122.71,2645050.0,122.681,18519
2017-01-19,122.24,123.0,122.04,122.18,2419943.0,122.496,16308
2017-01-20,122.26,122.95,122.01,122.26,3877471.0,122.391,22601
2017-01-23,121.69,122.08,119.82,121.38,5213212.0,121.098,31711
2017-01-24,121.91,122.06,120.52,121.05,2789541.0,121.016,17989
2017-01-25,121.49,121.92,120.95,121.79,2468293.0,121.566,15810
2017-01-26,121.86,122.38,121.76,121.88,1852928.0,122.065,12526
2017-01-27,122.27,122.99,121.48,122.86,2920631.0,122.451,18736
