date,open,high,low,close,volume
2016-07-29,119.59,120.18,117.43,117.65,10726963.0
2016-08-05,117.88,119.45,117.11,119.21,15768918.0
2016-08-12,119.17,120.02,117.6,119.52,12816022.0
2016-08-19,119.02,119.25,115.0,115.01,18315570.0
2016-08-26,115.0,116.12,113.96,114.44,20784389.0
2016-09-02,114.6,116.11,114.5,115.83,17189752.0
2016-09-09,117.27,119.24,114.58,114.58,12641171.0
2016-09-16,114.47,116.26,114.13,115.28,19056898.0
2016-09-23,115.83,117.95,114.95,117.17,14636549.0
2016-09-30,116.8,117.2,114.46,115.36,16692427.0
2016-10-07,115.01,115.51,112.4,113.45,15465481.0
2016-10-14,114.21,115.74,113.54,114.09,16737625.0
2016-10-21,113.91,114.5,110.33,113.93,29656858.0
2016-10-28,114.25,114.5,111.4,112.1,16976628.0
2016-11-04,112.46,112.85,110.83,111.04,13676746.0
2016-11-11,112.0,115.42,111.8,114.22,15910938.0
2016-11-18,114.99,120.24,114.72,120.0,17498090.0
2016-11-25,119.8,120.99,118.88,120.66,9206776.0
2016-12-02,120.38,121.87,117.71,118.24,17554913.0
2016-12-09,119.48,121.27,118.46,121.26,13451056.0
2016-12-16,121.57,123.84,121.26,123.24,17197618.0
2016-12-23,123.23,124.0,122.71,123.14,8723463.0
2016-12-30,123.3,123.65,121.44,121.72,6434255.0
2017-01-06,121.86,122.0,118.18,120.76,13136900.0
2017-01-13,120.76,122.31,119.73,121.5,11713561.0
2017-01-20,120.75,123.0,120.7,122.26,11757042.0
2017-01-27,121.69,122.99,119.82,122.86,15244605.0
2017-02-03,122.81,124.51,121.7,124.24,12192080.0
2017-02-10,124.09,126.12,123.95,125.82,10803947.0
2017-02-17,126.09,127.88,125.27,127.8,10806951.0
2017-02-24,127.16,128.9,126.4,128.65,10667308.0
2017-03-03,127.67,130.0,126.58,127.9,18993993.0
2017-03-10,127.9,128.72,127.34,127.98,12244749.0
2017-03-17,128.01,129.99,127.35,128.64,15358242.0
2017-03-24,128.99,129.75,128.18,129.34,12940961.0
2017-03-31,128.97,130.19,128.6,129.61,10320296.0
2017-04-07,129.61,131.58,128.65,129.96,12216657.0
2017-04-14,129.95,131.56,129.52,130.76,9132071.0
2017-04-21,131.25,133.88,130.91,133.41,12252780.0
2017-04-28,134.24,142.79,133.26,139.93,25962334.0
2017-05-05,139.86,143.98,139.84,143.96,14328059.0
2017-05-12,143.93,145.5,143.4,145.36,9297527.0
2017-05-19,145.43,148.83,145.43,148.15,13137623.0
2017-05-26,148.3,150.24,147.0,149.86,12731053.0
2017-06-02,149.95,153.9,149.52,153.74,12141976.0
2017-06-09,153.63,153.66,150.72,151.48,11429765.0
2017-06-16,151.0,152.89,148.04,151.99,15923205.0
2017-06-23,152.39,155.45,151.84,154.64,9389985.0
2017-06-30,155.18,155.46,152.15,153.16,6586203.0
2017-07-07,153.44,156.56,151.99,156.27,6925396.0
2017-07-14,156.34,156.75,154.01,155.28,8663895.0
2017-07-21,155.41,155.44,153.29,153.92,10966417.0
2017-07-28,154.0,159.98,151.77,155.85,22116767.0
2017-08-04,155.92,156.77,153.23,153.82,13943911.0
2017-08-11,154.14,158.4,154.0,157.3,11906547.0
2017-08-18,157.45,159.53,156.46,157.76,9503415.0
2017-08-25,158.17,159.94,157.54,158.82,6660122.0
2017-09-01,159.04,160.2,158.32,159.81,8568384.0
2017-09-08,159.0,160.38,158.07,159.71,7839401.0
2017-09-15,160.0,161.72,155.77,156.92,19755705.0
2017-09-22,157.72,160.09,156.33,158.91,11519667.0
2017-09-29,158.47,158.69,153.27,156.68,15343592.0
2017-10-06,156.0,160.14,155.8,159.6,7862982.0
2017-10-13,159.65,165.51,159.5,165.37,10145236.0
2017-10-20,165.45,167.9,163.89,166.3,11784402.0
2017-10-27,166.1,166.49,163.0,165.39,17697421.0
2017-11-03,165.0,169.45,164.66,168.65,7883379.0
2017-11-10,168.9,170.92,163.52,165.59,11710542.0
2017-11-17,165.47,168.89,165.08,166.72,8017949.0
2017-11-24,167.33,170.35,166.76,169.11,6177184.0
2017-12-01,168.9,173.17,168.09,172.87,12884170.0
2017-12-08,173.27,174.44,170.43,173.15,9427802.0
2017-12-15,172.94,175.09,171.85,174.06,10063075.0
2017-12-22,174.87,175.78,170.55,171.42,7528191.0
2017-12-29,171.09,173.55,170.82,172.12,4241139.0
2018-01-05,173.73,175.0,172.0,174.05,8941532.0
2018-01-12,173.74,174.55,172.1,173.57,8506705.0
2018-01-19,173.62,176.64,172.88,176.12,8789527.0
2018-01-26,175.97,178.4,174.66,178.36,10949584.0
2018-02-02,178.3,178.7,168.89,169.38,22429675.0
2018-02-09,168.61,169.46,153.86,160.8,23487651.0
2018-02-16,162.37,165.89,157.76,157.79,21361180.0
2018-02-23,157.0,163.31,156.27,163.06,14528842.0
2018-03-02,164.0,164.75,146.84,148.27,24091492.0
2018-03-09,148.28,157.73,147.92,157.24,18795781.0
2018-03-16,157.74,163.23,157.24,162.36,18916669.0
2018-03-23,162.0,162.36,154.92,154.98,12371496.0
2018-03-30,156.21,159.83,156.21,156.38,10179765.0
2018-04-06,158.27,164.57,155.25,161.25,17651975.0
2018-04-13,162.22,165.4,161.06,161.73,12578777.0
2018-04-20,161.3,163.48,158.51,158.77,11423829.0
2018-04-27,158.97,159.85,155.01,158.3,12552439.0
2018-05-04,164.69,167.95,159.08,165.03,24105040.0
2018-05-11,166.77,167.3,163.05,165.39,8519781.0
2018-05-18,165.65,165.98,160.55,160.98,9823344.0
2018-05-25,161.78,163.95,159.15,163.21,10496244.0
2018-06-01,162.43,162.72,159.02,159.16,8941548.0
2018-06-08,160.08,171.56,158.98,168.91,16710654.0
2018-06-15,169.04,169.04,164.59,166.46,11939721.0
2018-06-22,165.53,166.58,159.54,164.55,14830951.0
2018-06-29,163.0,163.0,155.1,156.69,15756847.0
2018-07-06,155.99,160.57,155.45,159.42,6282911.0
2018-07-13,160.47,160.98,155.28,158.51,11110605.0
2018-07-20,158.62,160.0,156.28,157.97,10129742.0
2018-07-27,157.8,159.58,154.71,157.48,16074970.0
2018-08-03,157.39,160.02,153.13,156.21,16285468.0
2018-08-10,156.03,159.62,155.46,158.68,9403671.0
2018-08-17,158.48,162.28,157.25,161.15,10189327.0
2018-08-24,161.29,162.16,158.3,159.38,6471624.0
2018-08-31,160.23,163.34,159.2,162.23,10157502.0
2018-09-07,161.81,164.3,160.07,163.9,7958214.0
2018-09-14,164.48,166.02,160.25,160.84,10927974.0
2018-09-21,159.55,165.3,156.56,165.3,15145885.0
2018-09-28,163.9,167.83,161.12,167.29,11768345.0
2018-10-05,168.37,168.95,164.37,166.57,9878154.0
2018-10-12,166.25,172.0,161.82,163.82,14098156.0
2018-10-19,164.69,168.15,162.9,167.49,13436508.0
2018-10-26,167.98,178.27,166.19,173.34,27283336.0
2018-11-02,175.0,178.96,172.22,176.75,15206842.0
2018-11-09,177.41,186.58,177.0,185.94,13670910.0
2018-11-16,185.95,187.77,181.52,187.59,10802520.0
2018-11-23,187.74,188.9,181.07,181.93,8906950.0
2018-11-30,182.4,190.88,182.07,188.51,12508524.0
2018-12-07,188.1,188.42,182.1,182.96,10154374.0
2018-12-14,182.96,186.83,180.55,183.29,9838412.0
2018-12-21,182.8,183.62,172.54,174.15,16541340.0
2018-12-28,174.24,177.5,169.04,175.56,8566171.0
2019-01-04,175.96,179.2,174.16,178.28,7562658.0
2019-01-11,178.14,182.4,178.14,182.37,8009187.0
2019-01-18,181.42,183.26,179.03,182.57,9246996.0
2019-01-25,182.25,189.42,182.25,184.0,8682421.0
2019-02-01,183.13,187.8,176.48,176.72,24371551.0
2019-02-08,177.29,179.42,174.31,174.75,14841487.0
2019-02-15,175.24,179.98,173.41,179.97,16496779.0
2019-02-22,181.11,183.41,179.16,183.17,10701932.0
2019-03-01,184.05,185.65,182.01,185.05,8707790.0
2019-03-08,184.55,184.73,178.27,179.5,10951482.0
2019-03-15,180.0,185.46,179.8,185.33,9133909.0
2019-03-22,185.98,188.65,182.32,186.81,11712128.0
2019-03-29,186.25,190.52,184.01,189.9,7404801.0
2019-04-05,190.5,191.24,186.7,190.71,7937332.0
2019-04-12,190.71,192.28,188.05,191.6,7864251.0
2019-04-19,191.77,195.0,190.85,194.91,5603711.0
2019-04-26,193.99,198.6,193.37,197.42,7469035.0
2019-05-03,197.98,200.0,193.32,197.52,13075698.0
2019-05-10,196.53,200.36,195.94,199.99,7272201.0
2019-05-17,198.0,200.63,197.28,199.22,7719712.0
2019-05-24,199.22,201.15,197.33,197.77,6870495.0
2019-05-31,198.28,200.03,194.85,198.27,6900349.0
2019-06-07,198.36,206.39,197.32,205.48,13588757.0
2019-06-14,206.1,206.1,199.74,205.29,10132275.0
2019-06-21,205.75,205.94,202.61,204.26,8055753.0
2019-06-28,204.75,207.99,203.63,207.66,7132269.0
2019-07-05,208.86,213.01,206.19,211.24,5795307.0
2019-07-12,211.24,214.8,211.23,212.99,5597369.0
2019-07-19,213.63,216.26,212.15,213.87,6637518.0
2019-07-26,213.79,218.96,212.27,215.58,9534584.0
2019-08-02,216.0,217.42,209.37,214.48,11347454.0
2019-08-09,213.64,221.93,209.42,221.15,10921133.0
2019-08-16,220.44,220.65,215.66,218.47,8391943.0
2019-08-23,219.99,220.89,213.89,214.66,7448304.0
2019-08-30,216.08,221.02,214.21,217.97,7204581.0
2019-09-06,217.93,220.84,216.28,220.03,5135658.0
2019-09-13,220.5,220.5,208.28,209.81,12830849.0
2019-09-20,209.3,211.83,207.33,209.39,10946673.0
2019-09-27,209.06,215.67,209.06,213.16,8130474.0
2019-10-04,213.16,215.36,205.59,211.69,10656830.0
