date,open,high,low,close,volume
2016-07-01,110.68,115.18,110.55,114.19,72523727.0
2016-07-08,113.92,117.5,112.97,117.24,62397019.0
2016-07-15,117.71,118.72,116.58,116.86,69745049.0
2016-07-22,117.34,122.2,116.89,121.0,85614063.0
2016-07-29,121.41,128.33,117.78,123.94,166917205.0
2016-08-05,123.9,125.84,122.07,125.15,96628189.0
2016-08-12,125.25,126.09,124.18,124.88,57711359.0
2016-08-19,124.91,124.92,122.78,123.56,61082862.0
2016-08-26,123.37,125.19,123.09,124.96,59671859.0
2016-09-02,124.91,126.86,124.35,126.51,62428143.0
2016-09-09,126.65,131.98,126.47,127.1,83672702.0
2016-09-16,126.03,129.18,125.75,129.07,72460094.0
2016-09-23,129.9,130.73,127.3,127.96,70747097.0
2016-09-30,127.37,129.47,126.8,128.27,62815359.0
2016-10-07,128.42,129.28,127.54,128.99,55468087.0
2016-10-14,129.73,130.7,126.75,127.88,61663518.0
2016-10-21,128.21,132.13,127.32,132.07,61310512.0
2016-10-28,132.76,133.5,129.27,131.29,72038653.0
2016-11-04,132.04,132.12,119.25,120.75,143784564.0
2016-11-11,122.88,124.61,115.27,119.02,155259091.0
2016-11-18,119.13,119.15,113.55,117.02,138091510.0
2016-11-25,118.21,122.98,117.8,120.38,74861192.0
2016-12-02,119.99,122.1,114.0,115.4,116833586.0
2016-12-09,115.95,119.94,115.07,119.68,87857024.0
2016-12-16,119.19,122.5,117.61,119.87,97578520.0
2016-12-23,119.85,120.36,116.3,117.27,57266108.0
2016-12-30,116.96,118.68,114.77,115.05,43693915.0
2017-01-06,116.03,123.88,115.51,123.41,72563858.0
2017-01-13,123.55,129.27,123.04,128.34,89406364.0
2017-01-20,128.01,128.48,126.78,127.04,47628765.0
2017-01-27,127.31,133.14,126.95,132.18,77680603.0
2017-02-03,131.58,135.49,129.51,130.98,132288849.0
2017-02-10,130.98,134.94,130.3,134.19,70982743.0
2017-02-17,134.65,134.7,132.55,133.53,55464011.0
2017-02-24,133.51,136.79,132.9,135.44,61984757.0
2017-03-03,135.27,137.82,134.75,137.17,57306500.0
2017-03-10,136.88,139.49,136.51,138.79,54305602.0
2017-03-17,138.69,140.34,138.49,139.84,61031069.0
2017-03-24,139.71,142.31,137.6,140.34,73972009.0
2017-03-31,139.05,142.95,138.77,142.05,54971642.0
2017-04-07,141.93,143.44,140.24,140.78,56369851.0
2017-04-14,141.0,141.43,138.81,139.39,39961149.0
2017-04-21,139.87,144.25,139.75,143.68,53762349.0
2017-04-28,144.94,151.53,144.34,150.25,70663220.0
2017-05-05,151.71,153.6,148.72,150.24,103144508.0
2017-05-12,150.71,152.59,148.86,150.33,55202317.0
2017-05-19,150.17,151.48,144.42,148.06,76606838.0
2017-05-26,148.08,152.59,147.25,152.13,64876796.0
2017-06-02,151.97,153.63,150.3,153.61,52639795.0
2017-06-09,153.64,155.59,146.61,149.6,73702641.0
2017-06-16,148.17,152.4,144.56,150.64,93284119.0
2017-06-23,151.93,155.2,151.71,155.07,62423164.0
2017-06-30,156.2,156.5,148.91,150.98,76967106.0
2017-07-07,151.77,152.15,147.8,151.44,46575679.0
2017-07-14,151.59,160.32,151.51,159.97,64847379.0
2017-07-21,160.25,165.7,158.81,164.43,76360385.0
2017-07-28,164.65,175.49,163.86,172.45,121800352.0
2017-08-04,172.0,172.72,166.91,169.62,64451406.0
2017-08-11,169.95,173.05,166.85,168.08,59479991.0
2017-08-18,170.11,171.5,166.21,167.41,57177938.0
2017-08-25,167.16,169.87,165.82,166.32,48821329.0
2017-09-01,166.88,172.92,165.0,172.02,47189422.0
2017-09-08,171.26,173.49,169.55,170.95,45765741.0
2017-09-15,172.36,174.0,170.26,171.64,50002410.0
2017-09-22,171.91,173.05,169.22,170.54,49679911.0
2017-09-29,169.17,171.66,161.56,170.87,90853869.0
2017-10-06,171.39,172.37,168.29,172.23,48974592.0
2017-10-13,172.7,174.88,170.8,173.74,50505347.0
2017-10-20,174.49,176.74,172.63,174.98,53247429.0
2017-10-27,175.26,178.21,168.89,177.88,64836182.0
2017-11-03,179.26,182.9,176.71,178.92,103906293.0
2017-11-10,178.56,180.75,177.09,178.46,46863762.0
2017-11-17,177.49,179.98,176.4,179.0,42726374.0
2017-11-24,178.87,183.15,178.1,182.78,35659869.0
2017-12-01,182.62,184.25,172.34,175.1,89879533.0
2017-12-08,176.29,182.28,169.01,179.0,80169392.0
2017-12-15,179.31,180.5,176.6,180.18,60343881.0
2017-12-22,181.01,181.3,176.23,177.2,48137297.0
2017-12-29,176.63,178.94,174.67,176.46,28681631.0
2018-01-05,177.68,186.9,177.55,186.85,48127149.0
2018-01-12,187.2,188.9,177.4,179.37,96676279.0
2018-01-19,181.53,182.37,175.8,181.29,88144972.0
2018-01-26,180.79,190.66,180.41,190.0,79719848.0
2018-02-02,188.7,195.32,181.84,190.28,116685141.0
2018-02-09,186.96,190.61,167.18,176.11,135883141.0
2018-02-16,177.09,180.5,171.84,177.36,95777677.0
2018-02-23,175.89,183.39,175.11,183.29,62405400.0
2018-03-02,184.58,185.66,172.99,176.62,72948088.0
2018-03-09,176.11,185.51,175.89,185.23,66057614.0
2018-03-16,185.35,186.1,181.11,185.09,64065437.0
2018-03-23,176.97,177.17,159.02,159.39,382629094.0
2018-03-30,160.78,162.85,149.02,159.79,267805909.0
2018-04-06,157.81,161.6,150.51,157.2,168674804.0
2018-04-13,157.82,168.65,156.04,164.52,175612720.0
2018-04-20,165.72,169.0,163.39,166.28,76489579.0
2018-04-27,167.27,177.1,156.19,173.59,156109125.0
2018-05-04,173.79,178.08,170.23,176.61,91548883.0
2018-05-11,177.35,188.32,177.11,186.99,77217069.0
2018-05-18,187.7,187.86,182.22,182.68,55893059.0
2018-05-25,183.77,186.91,182.18,184.92,46937490.0
2018-06-01,184.17,194.55,183.71,193.99,55735329.0
2018-06-08,191.8,197.09,178.18,189.1,68669924.0
2018-06-15,188.97,197.28,188.8,195.85,57358484.0
2018-06-22,194.92,203.55,193.79,201.74,73411790.0
2018-06-29,199.9,200.75,193.11,194.32,71154886.0
2018-07-06,193.37,203.64,192.22,203.23,51391088.0
2018-07-13,204.93,208.43,201.75,207.32,54438064.0
2018-07-20,207.5,211.5,204.84,209.94,50430197.0
2018-07-27,210.68,218.62,173.0,174.89,227455361.0
2018-08-03,175.25,178.85,166.56,177.78,158328145.0
2018-08-10,179.03,188.3,178.38,180.26,119213598.0
2018-08-17,180.1,182.61,172.04,173.8,97842805.0
2018-08-24,174.04,175.55,170.91,174.65,69929327.0
