date,open,high,low,close,volume
2016-07-01,49.1,51.72,48.03,51.16,139127683.0
2016-07-08,50.83,52.36,50.39,52.3,85344292.0
2016-07-15,52.49,54.0,52.47,53.7,107496265.0
2016-07-22,53.7,56.84,52.93,56.57,198393210.0
2016-07-29,56.41,57.29,55.72,56.68,127577980.0
2016-08-05,56.69,58.21,56.14,57.96,116480141.0
2016-08-12,58.03,58.5,57.62,57.94,76764959.0
2016-08-19,58.03,58.5,57.2,57.62,72080354.0
2016-08-26,57.57,58.7,57.26,58.03,73606365.0
2016-09-02,58.18,58.6,57.01,57.67,78253623.0
2016-09-09,57.58,57.84,56.21,56.21,68627824.0
2016-09-16,55.85,57.63,55.61,57.25,120813625.0
2016-09-23,57.27,58.0,56.75,57.43,92060804.0
2016-09-30,57.08,58.17,56.68,57.6,97800000.0
2016-10-07,57.41,57.98,56.97,57.8,77713790.0
2016-10-14,57.92,58.39,56.31,57.42,101103743.0
2016-10-21,57.36,60.45,56.66,59.66,157450921.0
2016-10-28,59.94,61.37,59.58,59.87,148630450.0
2016-11-04,60.16,60.42,58.52,58.71,98007603.0
2016-11-11,59.8,60.78,57.63,59.02,168278226.0
2016-11-18,59.08,61.14,54.27,60.35,133622049.0
2016-11-25,60.54,61.26,60.13,60.53,53345504.0
2016-12-02,60.34,61.41,58.8,59.25,102316495.0
2016-12-09,59.67,61.99,59.56,61.97,95980141.0
2016-12-16,61.87,63.45,61.72,62.3,122773908.0
2016-12-23,62.61,64.1,62.42,63.24,84511465.0
2016-12-30,63.21,64.07,62.03,62.14,46751808.0
2017-01-06,62.76,63.15,62.04,62.84,59967798.0
2017-01-13,62.77,63.4,61.95,62.7,77439574.0
2017-01-20,62.67,62.98,62.03,62.74,65949524.0
2017-01-27,62.7,65.91,62.57,65.78,128235566.0
2017-02-03,65.62,65.79,62.75,63.68,145900659.0
2017-02-10,63.5,64.44,63.14,64.0,77811187.0
2017-02-17,64.23,65.24,64.02,64.62,77564073.0
2017-02-24,64.64,64.95,64.05,64.62,64157470.0
2017-03-03,64.54,64.99,63.62,64.25,87324213.0
2017-03-10,64.0,65.26,63.81,64.93,75524988.0
2017-03-17,65.01,65.24,64.15,64.87,89288901.0
2017-03-24,64.91,65.5,64.12,64.98,81312541.0
2017-03-31,64.63,66.19,64.35,65.86,68422419.0
2017-04-07,65.81,66.35,65.19,65.68,69642665.0
2017-04-14,65.61,65.86,64.85,64.95,56098626.0
2017-04-21,65.07,66.7,64.89,66.4,88580528.0
2017-04-28,67.47,69.14,67.1,68.46,126731510.0
2017-05-05,68.67,69.71,68.48,69.0,105082502.0
2017-05-12,69.16,69.56,68.04,68.38,82583522.0
2017-05-19,68.15,69.44,67.14,67.69,116792971.0
2017-05-26,67.89,70.22,67.5,69.96,69131917.0
2017-06-02,69.79,71.86,69.45,71.76,80370647.0
2017-06-09,71.97,72.89,68.59,70.32,130406644.0
2017-06-16,69.25,71.1,68.13,70.0,136243273.0
2017-06-23,70.5,71.25,69.71,71.21,86585588.0
2017-06-30,71.4,71.71,68.09,68.93,101168820.0
