date,open,high,low,close,volume,wap,count
2024-03-11 13:30:00+00:00,403.77,404.35,401.75,402.58,581041.0,403.506,1878.0
2024-03-11 13:35:00+00:00,402.66,403.36,402.46,402.78,239807.0,402.865,1695.0
2024-03-11 13:40:00+00:00,402.75,403.76,402.63,402.91,208536.0,403.195,1094.0
2024-03-11 13:45:00+00:00,402.88,403.53,402.87,403.26,163278.0,403.161,900.0
2024-03-11 13:50:00+00:00,403.31,403.81,402.44,402.44,204820.0,403.213,994.0
2024-03-11 13:55:00+00:00,402.48,403.17,401.88,401.95,189250.0,402.509,874.0
2024-03-11 14:00:00+00:00,401.97,403.01,401.84,402.54,196653.0,402.288,1060.0
2024-03-11 14:05:00+00:00,402.59,402.6,401.71,402.24,130468.0,402.224,866.0
2024-03-11 14:10:00+00:00,402.24,402.6,401.43,401.49,211630.0,401.943,938.0
2024-03-11 14:15:00+00:00,401.52,402.5,401.26,402.47,138524.0,401.891,869.0
2024-03-11 14:20:00+00:00,402.5,402.59,401.55,401.81,90940.0,401.912,612.0
2024-03-11 14:25:00+00:00,401.86,402.94,401.86,402.82,127993.0,402.473,739.0
2024-03-11 14:30:00+00:00,402.85,403.92,402.74,403.74,143404.0,403.404,840.0
2024-03-11 14:35:00+00:00,403.71,404.07,402.82,402.88,111761.0,403.444,677.0
2024-03-11 14:40:00+00:00,402.85,403.85,402.84,403.64,78579.0,403.51,468.0
2024-03-11 14:45:00+00:00,403.66,403.7,403.16,403.66,51244.0,403.496,354.0
2024-03-11 14:50:00+00:00,403.67,404.32,403.55,404.21,99757.0,404.012,596.0
2024-03-11 14:55:00+00:00,404.22,404.59,403.62,403.82,158480.0,403.946,1083.0
2024-03-11 15:00:00+00:00,403.77,404.12,403.47,403.85,196343.0,403.718,1034.0
2024-03-11 15:05:00+00:00,403.86,403.94,403.26,403.42,96018.0,403.62,605.0
2024-03-11 15:10:00+00:00,403.38,403.56,402.69,403.14,90801.0,403.083,504.0
2024-03-11 15:15:00+00:00,403.14,403.14,402.85,403.0,71137.0,402.987,369.0
2024-03-11 15:20:00+00:00,403.0,403.21,402.71,402.81,86723.0,403.002,511.0
2024-03-11 15:25:00+00:00,402.79,403.2,402.6,402.71,58558.0,402.946,428.0
2024-03-11 15:30:00+00:00,402.76,402.92,402.45,402.78,80246.0,402.677,438.0
2024-03-11 15:35:00+00:00,402.81,403.02,402.33,402.37,82921.0,402.664,477.0
2024-03-11 15:40:00+00:00,402.32,402.94,402.09,402.88,101939.0,402.423,480.0
2024-03-11 15:45:00+00:00,402.92,403.53,402.92,403.5,61917.0,403.3,390.0
2024-03-11 15:50:00+00:00,403.5,403.76,403.33,403.42,84420.0,403.591,510.0
2024-03-11 15:55:00+00:00,403.4,404.02,403.37,403.88,62431.0,403.76,403.0
2024-03-11 16:00:00+00:00,403.89,403.89,403.01,403.23,110315.0,403.469,755.0
2024-03-11 16:05:00+00:00,403.18,403.42,403.06,403.12,69119.0,403.209,501.0
2024-03-11 16:10:00+00:00,403.13,403.25,402.77,403.08,71330.0,403.012,492.0
2024-03-11 16:15:00+00:00,403.07,403.41,403.01,403.36,71228.0,403.235,504.0
2024-03-11 16:20:00+00:00,403.37,403.42,403.18,403.24,70514.0,403.302,389.0
2024-03-11 16:25:00+00:00,403.25,403.33,402.92,403.03,76757.0,403.094,415.0
2024-03-11 16:30:00+00:00,403.06,403.38,403.05,403.27,68817.0,403.207,433.0
2024-03-11 16:35:00+00:00,403.3,403.39,402.96,403.02,62512.0,403.198,380.0
2024-03-11 16:40:00+00:00,402.98,403.75,402.98,403.56,70480.0,403.513,372.0
2024-03-11 16:45:00+00:00,403.56,403.87,403.54,403.68,40445.0,403.705,268.0
2024-03-11 16:50:00+00:00,403.66,404.18,403.55,404.13,56876.0,403.874,333.0
2024-03-11 16:55:00+00:00,404.14,404.29,404.02,404.07,49190.0,404.155,298.0
2024-03-11 17:00:00+00:00,404.07,404.33,403.83,404.02,71245.0,404.024,450.0
2024-03-11 17:05:00+00:00,404.05,404.11,403.68,403.69,58314.0,403.898,387.0
2024-03-11 17:10:00+00:00,403.66,403.72,403.34,403.62,93446.0,403.553,458.0
2024-03-11 17:15:00+00:00,403.62,403.78,403.47,403.55,56050.0,403.573,284.0
2024-03-11 17:20:00+00:00,403.58,404.25,403.58,404.17,33107.0,403.834,232.0
2024-03-11 17:25:00+00:00,404.17,404.63,404.15,404.56,61236.0,404.439,375.0
2024-03-11 17:30:00+00:00,404.6,405.0,404.51,404.6,75378.0,404.75,431.0
2024-03-11 17:35:00+00:00,404.59,404.88,404.3,404.33,88353.0,404.573,414.0
2024-03-11 17:40:00+00:00,404.32,404.44,403.56,403.7,122176.0,403.988,575.0
2024-03-11 17:45:00+00:00,403.69,403.98,403.5,403.87,102176.0,403.735,431.0
2024-03-11 17:50:00+00:00,403.86,404.12,403.77,404.04,50326.0,403.967,366.0
2024-03-11 17:55:00+00:00,404.08,404.6,404.08,404.46,55717.0,404.376,359.0
2024-03-11 18:00:00+00:00,404.49,404.78,404.18,404.7,69383.0,404.439,398.0
2024-03-11 18:05:00+00:00,404.75,404.82,404.54,404.82,44285.0,404.697,310.0
2024-03-11 18:10:00+00:00,404.8,404.89,404.34,404.55,55428.0,404.638,377.0
2024-03-11 18:15:00+00:00,404.59,404.68,404.38,404.51,47674.0,404.527,351.0
2024-03-11 18:20:00+00:00,404.53,404.87,404.47,404.86,58675.0,404.718,385.0
2024-03-11 18:25:00+00:00,404.85,404.86,404.45,404.67,50542.0,404.656,357.0
2024-03-11 18:30:00+00:00,404.69,404.98,404.51,404.62,75969.0,404.787,458.0
2024-03-11 18:35:00+00:00,404.61,404.84,404.3,404.65,49915.0,404.576,361.0
2024-03-11 18:40:00+00:00,404.64,405.13,404.6,405.11,134722.0,404.95,534.0
2024-03-11 18:45:00+00:00,405.11,405.43,405.03,405.36,59243.0,405.25,376.0
2024-03-11 18:50:00+00:00,405.38,405.68,405.16,405.19,59504.0,405.349,435.0
2024-03-11 18:55:00+00:00,405.18,405.23,404.92,405.19,52529.0,405.1,411.0
2024-03-11 19:00:00+00:00,405.19,405.28,404.85,405.22,55982.0,405.029,404.0
2024-03-11 19:05:00+00:00,405.22,405.39,405.11,405.13,52756.0,405.276,358.0
2024-03-11 19:10:00+00:00,405.14,405.22,404.57,404.6,76160.0,404.976,493.0
