date,open,high,low,close,volume,wap,count
2016-06-27,13.14,13.24,12.1,12.23,42959110.0,12.23,0.0
2016-06-28,12.64,13.05,12.62,12.99,31891776.0,12.99,0.0
2016-06-29,13.3,13.42,12.94,13.19,33891235.0,13.19,0.0
2016-06-30,13.34,13.78,13.22,13.76,37860146.0,13.76,0.0
2016-07-01,12.58,12.9,12.31,12.5,64475895.0,12.5,0.0
2016-07-05,12.38,12.45,11.8,11.91,35516801.0,11.91,0.0
2016-07-06,11.76,11.85,11.5,11.73,33277966.0,11.73,0.0
2016-07-07,11.9,12.55,11.89,12.2,32014407.0,12.2,0.0
2016-07-08,12.39,12.72,12.38,12.62,24195194.0,12.62,0.0
2016-07-11,12.79,12.98,12.61,12.64,20630648.0,12.64,0.0
2016-07-12,12.98,13.46,12.98,13.23,33411661.0,13.23,0.0
2016-07-13,13.26,13.39,13.07,13.29,20990358.0,13.29,0.0
2016-07-14,13.5,13.55,13.27,13.29,17079455.0,13.29,0.0
2016-07-15,13.23,13.5,13.04,13.13,16933700.0,13.13,0.0
2016-07-18,13.25,13.36,13.09,13.34,15567018.0,13.34,0.0
2016-07-19,13.22,13.26,13.05,13.22,18738031.0,13.22,0.0
2016-07-20,13.33,13.62,13.24,13.59,31035268.0,13.59,0.0
2016-07-21,13.5,13.5,13.08,13.18,14624583.0,13.18,0.0
2016-07-22,13.21,13.23,13.01,13.13,16071338.0,13.13,0.0
2016-07-25,14.03,14.33,13.88,13.92,46419274.0,13.92,0.0
2016-07-26,14.0,14.69,13.93,14.67,34806103.0,14.67,0.0
2016-07-27,14.85,14.89,14.05,14.19,30806089.0,14.19,0.0
2016-07-28,14.13,14.19,13.7,13.81,20196691.0,13.81,0.0
2016-07-29,13.91,13.94,13.62,13.74,18821870.0,13.74,0.0
2016-08-01,13.81,13.92,13.55,13.56,14495574.0,13.56,0.0
2016-08-02,13.55,13.58,13.02,13.4,22194105.0,13.4,0.0
2016-08-03,13.27,13.58,13.27,13.51,16295967.0,13.51,0.0
2016-08-04,13.61,14.2,13.6,14.03,21840328.0,14.03,0.0
2016-08-05,14.21,14.78,14.2,14.52,26916577.0,14.52,0.0
2016-08-08,14.53,14.72,14.38,14.42,16163500.0,14.42,0.0
2016-08-09,14.56,14.7,14.4,14.48,12573700.0,14.48,0.0
2016-08-10,14.48,14.5,14.03,14.2,15003200.0,14.2,0.0
2016-08-11,14.25,14.49,14.21,14.43,14451300.0,14.43,0.0
2016-08-12,14.46,14.99,14.43,14.93,24909900.0,14.93,0.0
2016-08-15,15.09,15.7,15.08,15.53,29105200.0,15.53,0.0
2016-08-16,15.58,15.59,15.23,15.49,21872700.0,15.49,0.0
2016-08-17,15.53,15.76,15.46,15.52,22552100.0,15.52,0.0
2016-08-18,15.55,15.8,15.51,15.77,16590700.0,15.77,0.0
2016-08-19,16.16,16.45,16.03,16.25,35059400.0,16.25,0.0
2016-08-22,16.15,16.43,15.91,16.19,22145800.0,16.19,0.0
2016-08-23,16.27,16.54,16.14,16.18,23741400.0,16.18,0.0
2016-08-24,16.2,16.24,15.38,15.51,26686900.0,15.51,0.0
2016-08-25,15.9,16.55,15.88,16.2,34837800.0,16.2,0.0
2016-08-26,16.34,16.81,16.29,16.51,24243700.0,16.51,0.0
2016-08-29,16.92,17.25,16.61,16.91,34467800.0,16.91,0.0
2016-08-30,17.0,17.01,16.51,16.74,23620900.0,16.74,0.0
2016-08-31,16.7,16.74,16.14,16.49,21963700.0,16.49,0.0
2016-09-01,16.61,16.8,16.3,16.64,15719500.0,16.64,0.0
2016-09-02,16.96,16.97,16.57,16.7,16099500.0,16.7,0.0
2016-09-06,16.8,17.08,16.75,17.01,22998600.0,17.01,0.0
2016-09-07,17.21,17.35,17.02,17.16,23023500.0,17.16,0.0
2016-09-08,17.18,17.86,16.88,17.45,39212100.0,17.45,0.0
2016-09-09,17.33,17.74,16.69,16.81,31389600.0,16.81,0.0
2016-09-12,16.61,17.2,16.37,17.15,28239200.0,17.15,0.0
2016-09-13,16.92,17.15,16.46,16.75,24345800.0,16.75,0.0
2016-09-14,16.88,17.08,16.65,16.93,18591300.0,16.93,0.0
2016-09-15,16.9,17.46,16.85,17.45,24303700.0,17.45,0.0
2016-09-16,18.08,18.08,17.34,17.48,37447400.0,17.48,0.0
2016-09-19,17.63,17.77,16.85,16.95,23999900.0,16.95,0.0
2016-09-20,17.05,17.27,16.72,16.92,17775800.0,16.92,0.0
2016-09-21,17.25,17.7,17.23,17.66,31384900.0,17.66,0.0
2016-09-22,17.89,18.05,17.41,17.59,25278000.0,17.59,0.0
2016-09-23,17.45,17.74,17.43,17.48,17947600.0,17.48,0.0
2016-09-26,17.35,17.6,17.18,17.36,19567200.0,17.36,0.0
2016-09-27,17.53,18.08,17.35,18.0,28621000.0,18.0,0.0
2016-09-28,18.16,18.16,17.15,17.44,42715600.0,17.44,0.0
2016-09-29,17.45,17.77,17.35,17.54,31870200.0,17.54,0.0
2016-09-30,17.75,18.0,17.58,17.78,21363100.0,17.78,0.0
2016-10-03,17.99,18.02,17.6,17.73,26856100.0,17.73,0.0
2016-10-04,17.98,18.04,17.66,17.8,54502800.0,17.8,0.0
2016-10-05,17.55,18.33,17.28,17.7,67739500.0,17.7,0.0
2016-10-06,17.64,17.89,17.54,17.73,21606800.0,17.73,0.0
2016-10-07,17.72,17.8,17.3,17.61,23849000.0,17.61,0.0
2016-10-10,17.72,17.84,17.49,17.5,18857600.0,17.5,0.0
2016-10-11,17.4,17.47,16.53,16.86,38070200.0,16.86,0.0
2016-10-12,16.88,17.04,16.67,16.78,17901800.0,16.78,0.0
2016-10-13,16.56,17.0,16.17,16.85,28593700.0,16.85,0.0
2016-10-14,17.03,17.41,16.99,17.13,23539800.0,17.13,0.0
2016-10-17,17.02,17.17,16.93,16.99,12657800.0,16.99,0.0
2016-10-18,17.21,17.66,17.2,17.41,20185700.0,17.41,0.0
2016-10-19,17.0,17.25,16.85,17.22,18629500.0,17.21,0.0
2016-10-20,17.05,17.5,17.05,17.2,17129700.0,17.21,0.0
2016-10-21,17.0,17.07,16.8,16.94,18710300.0,16.94,0.0
2016-10-24,17.07,17.16,16.97,17.06,13838700.0,17.06,0.0
2016-10-25,17.1,17.61,17.1,17.54,27444000.0,17.54,0.0
2016-10-26,17.3,17.93,17.2,17.64,23610500.0,17.64,0.0
2016-10-27,17.82,17.9,17.4,17.53,21198300.0,17.53,0.0
2016-10-28,17.6,17.67,17.1,17.2,20832400.0,17.2,0.0
2016-10-31,17.54,17.76,17.16,17.16,23267600.0,17.16,0.0
2016-11-01,17.2,17.41,16.58,16.98,27146100.0,16.98,0.0
2016-11-02,16.95,17.02,16.5,16.68,24949700.0,16.68,0.0
2016-11-03,16.66,16.81,16.56,16.62,17255100.0,16.62,0.0
2016-11-04,16.46,17.02,16.45,16.68,18026600.0,16.68,0.0
2016-11-07,17.02,17.43,17.02,17.38,21673200.0,17.38,0.0
2016-11-08,17.3,17.55,17.06,17.41,18062700.0,17.41,0.0
2016-11-09,16.95,17.35,16.75,17.2,33873300.0,17.2,0.0
2016-11-10,17.35,17.76,16.75,16.99,30282200.0,16.99,0.0
2016-11-11,17.08,17.68,16.9,17.67,31043300.0,17.67,0.0
2016-11-14,17.77,17.98,17.53,17.71,26313300.0,17.71,0.0
2016-11-15,17.66,18.17,17.66,18.1,25153900.0,18.1,0.0
2016-11-16,17.94,18.33,17.93,18.24,21629000.0,18.24,0.0
2016-11-17,18.35,19.34,18.25,19.18,45958100.0,19.18,0.0
2016-11-18,18.9,19.33,18.85,19.21,29121600.0,19.21,0.0
2016-11-21,19.39,19.67,19.35,19.49,22744000.0,19.49,0.0
2016-11-22,19.64,19.8,19.45,19.74,22219100.0,19.74,0.0
2016-11-23,19.63,19.93,19.47,19.91,20041300.0,19.91,0.0
2016-11-25,19.95,20.44,19.79,20.13,16308000.0,20.13,0.0
2016-11-28,20.18,20.28,19.95,19.99,22205900.0,19.99,0.0
2016-11-29,19.92,20.2,19.38,19.42,37924400.0,19.42,0.0
2016-11-30,19.58,19.76,19.36,19.53,26031700.0,19.53,0.0
2016-12-01,19.7,19.83,18.18,18.48,40713100.0,18.48,0.0
2016-12-02,18.46,19.2,18.3,18.79,25887600.0,18.79,0.0
2016-12-05,19.0,19.0,18.4,18.61,26635500.0,18.61,0.0
2016-12-06,18.62,19.09,18.58,19.06,22267800.0,19.06,0.0
2016-12-07,19.5,20.54,19.3,20.44,44735700.0,20.44,0.0
2016-12-08,20.75,20.99,20.29,20.66,36257400.0,20.66,0.0
2016-12-09,20.73,20.85,20.13,20.5,23978000.0,20.5,0.0
2016-12-12,20.3,20.51,19.49,20.02,28676100.0,20.02,0.0
2016-12-13,20.14,20.47,19.8,20.13,26252400.0,20.13,0.0
2016-12-14,19.93,20.33,19.78,20.02,19489100.0,20.02,0.0
2016-12-15,20.1,20.5,19.98,20.29,19453100.0,20.29,0.0
2016-12-16,20.53,21.0,20.19,20.27,36643400.0,20.27,0.0
2016-12-19,20.43,20.7,20.19,20.35,23555900.0,20.35,0.0
2016-12-20,20.73,20.8,20.47,20.65,23018500.0,20.65,0.0
2016-12-21,20.75,20.83,20.34,20.58,32034500.0,20.58,0.0
2016-12-22,22.91,23.49,22.77,23.19,85870000.0,23.19,0.0
2016-12-23,23.07,23.49,23.06,23.26,27780100.0,23.26,0.0
2016-12-27,23.35,23.64,23.21,23.3,24214100.0,23.3,0.0
2016-12-28,23.4,23.41,22.76,22.78,24026900.0,22.78,0.0
2016-12-29,22.58,22.8,22.15,22.27,19890500.0,22.27,0.0
2016-12-30,22.35,22.4,21.75,21.92,20268900.0,21.92,0.0
2017-01-03,22.07,22.74,22.05,22.55,24962900.0,22.55,0.0
2017-01-04,22.67,22.84,22.25,22.36,20426800.0,22.36,0.0
2017-01-05,22.4,22.57,21.96,22.11,19759400.0,22.11,0.0
2017-01-06,22.27,22.28,21.98,22.04,17782200.0,22.04,0.0
2017-01-09,21.94,22.55,21.94,22.34,21537200.0,22.34,0.0
2017-01-10,22.36,22.69,22.3,22.48,20644300.0,22.48,0.0
2017-01-11,22.61,22.88,22.56,22.79,20907700.0,22.79,0.0
2017-01-12,22.46,22.48,21.7,22.31,27592300.0,22.31,0.0
2017-01-13,22.27,22.31,21.99,22.18,14025700.0,22.18,0.0
2017-01-17,21.88,22.07,21.58,21.74,20053800.0,21.74,0.0
2017-01-18,21.68,22.34,21.53,22.32,19493400.0,22.32,0.0
2017-01-19,21.5,22.3,21.49,21.71,31259000.0,21.71,0.0
2017-01-20,21.9,22.33,21.89,21.96,19978700.0,21.96,0.0
2017-01-23,21.96,22.31,21.74,21.89,16070300.0,21.89,0.0
2017-01-24,22.27,23.09,22.26,22.85,29461400.0,22.85,0.0
2017-01-25,23.4,23.98,23.19,23.56,31611800.0,23.56,0.0
2017-01-26,23.8,23.99,23.29,23.52,19379100.0,23.52,0.0
2017-01-27,23.53,24.1,23.45,23.97,18626100.0,23.97,0.0
2017-01-30,23.82,24.24,23.43,24.18,30508100.0,24.18,0.0
2017-01-31,23.95,24.15,23.68,24.11,22712500.0,24.11,0.0
2017-02-01,24.43,24.85,24.31,24.75,28728200.0,24.75,0.0
2017-02-02,24.53,25.31,24.46,24.79,45499700.0,24.79,0.0
2017-02-03,24.9,25.24,24.5,24.6,25054400.0,24.6,0.0
2017-02-06,24.53,24.73,24.21,24.34,18900000.0,24.34,0.0
2017-02-07,24.59,24.69,24.21,24.6,19879300.0,24.6,0.0
2017-02-08,24.25,24.38,23.91,24.21,21559200.0,24.21,0.0
2017-02-09,24.75,24.89,24.42,24.45,27887400.0,24.45,0.0
2017-02-10,24.71,24.76,23.9,24.05,28578400.0,24.05,0.0
2017-02-13,24.07,24.2,23.82,23.9,16876400.0,23.9,0.0
2017-02-14,23.36,23.37,22.68,23.12,60685200.0,23.12,0.0
2017-02-15,23.07,23.26,22.79,23.02,28215800.0,23.02,0.0
2017-02-16,23.04,23.34,22.85,22.98,23819800.0,22.98,0.0
2017-02-17,23.01,23.38,23.01,23.35,22108700.0,23.35,0.0
2017-02-21,23.62,23.98,23.58,23.77,20256300.0,23.77,0.0
2017-02-22,23.86,24.06,23.65,23.75,16013300.0,23.75,0.0
2017-02-23,23.92,23.97,23.23,23.48,20172900.0,23.48,0.0
2017-02-24,22.96,23.26,22.64,23.24,22019600.0,23.24,0.0
2017-02-27,23.36,23.77,23.15,23.76,17999800.0,23.76,0.0
2017-02-28,23.79,23.95,23.32,23.44,21447500.0,23.44,0.0
2017-03-01,24.16,24.58,24.07,24.55,27989300.0,24.55,0.0
2017-03-02,24.88,25.25,24.38,24.7,45941900.0,24.7,0.0
2017-03-03,25.2,25.68,24.98,25.57,37862400.0,25.57,0.0
2017-03-06,25.5,25.92,25.17,25.71,25527800.0,25.71,0.0
2017-03-07,25.56,25.75,25.28,25.64,20313000.0,25.64,0.0
2017-03-08,25.64,25.83,25.04,25.38,24921100.0,25.38,0.0
2017-03-09,25.23,25.49,24.85,25.15,21786600.0,25.15,0.0
2017-03-10,25.28,25.75,24.81,25.18,28919000.0,25.18,0.0
2017-03-13,25.39,25.82,25.29,25.7,23768200.0,25.7,0.0
2017-03-14,25.59,25.7,25.25,25.58,14587500.0,25.58,0.0
2017-03-15,25.15,26.15,24.94,26.12,29779900.0,26.12,0.0
2017-03-16,26.2,26.23,25.83,26.04,19147300.0,26.04,0.0
2017-03-17,25.86,25.91,25.4,25.8,19126500.0,25.8,0.0
2017-03-20,25.99,26.61,25.81,26.21,26918800.0,26.21,0.0
2017-03-21,26.3,26.44,25.43,25.52,28397500.0,25.52,0.0
2017-03-22,25.73,26.15,25.63,26.06,25092500.0,26.06,0.0
2017-03-23,26.36,26.49,26.04,26.47,47118300.0,26.47,0.0
2017-03-24,29.71,29.87,28.16,28.43,107481800.0,28.43,0.0
2017-03-27,28.1,29.18,28.07,28.76,48190000.0,28.76,0.0
2017-03-28,28.73,29.06,28.62,28.69,24776400.0,28.69,0.0
2017-03-29,28.6,28.68,28.35,28.5,23060600.0,28.5,0.0
2017-03-30,28.4,29.0,28.33,28.97,25092700.0,28.97,0.0
2017-03-31,29.1,29.36,28.9,28.9,32337800.0,28.9,0.0
2017-04-03,28.95,29.04,28.3,28.64,21629100.0,28.64,0.0
2017-04-04,28.47,28.68,28.16,28.59,13957900.0,28.59,0.0
2017-04-05,28.64,28.91,28.23,28.26,22389900.0,28.26,0.0
2017-04-06,28.25,28.78,28.02,28.62,19423700.0,28.62,0.0
2017-04-07,28.45,28.86,28.35,28.52,20325500.0,28.52,0.0
2017-04-10,28.45,28.49,27.58,27.64,27422100.0,27.64,0.0
2017-04-11,27.5,27.54,26.68,27.18,38619300.0,27.18,0.0
2017-04-12,27.42,27.43,26.66,26.69,24621900.0,26.69,0.0
2017-04-13,26.55,27.23,26.36,26.74,26077500.0,26.74,0.0
2017-04-17,26.91,27.22,26.83,27.13,14108600.0,27.13,0.0
2017-04-18,27.0,27.34,26.9,27.14,14407100.0,27.14,0.0
2017-04-19,27.45,27.55,27.05,27.26,21231900.0,27.26,0.0
2017-04-20,27.5,28.08,27.5,27.96,23633000.0,27.96,0.0
2017-04-21,28.0,28.03,27.16,27.32,28361700.0,27.32,0.0
2017-04-24,27.74,27.76,26.52,26.57,44041000.0,26.57,0.0
2017-04-25,26.71,27.02,26.37,26.99,22881400.0,26.99,0.0
2017-04-26,26.58,27.07,26.39,26.79,24670700.0,26.79,0.0
2017-04-27,27.17,27.65,27.1,27.63,24626900.0,27.63,0.0
2017-04-28,28.02,28.2,27.51,27.67,28105100.0,27.67,0.0
