date,open,high,low,close,volume,wap,count
2022-12-28 14:30:00+00:00,49.79,50.98,49.37,50.81,1111713.0,50.338,6202.0
2022-12-28 14:45:00+00:00,50.8,51.09,50.65,50.75,712930.0,50.846,3828.0
2022-12-28 15:00:00+00:00,50.74,50.91,50.54,50.64,496372.0,50.745,2766.0
2022-12-28 15:15:00+00:00,50.66,50.78,50.33,50.4,431933.0,50.559,2227.0
2022-12-28 15:30:00+00:00,50.41,50.49,50.08,50.12,330401.0,50.283,1550.0
2022-12-28 15:45:00+00:00,50.11,50.14,49.69,49.7,340313.0,49.95,1718.0
2022-12-28 16:00:00+00:00,49.71,49.75,49.44,49.48,333875.0,49.578,1838.0
2022-12-28 16:15:00+00:00,49.48,49.6,49.39,49.55,268773.0,49.51,1423.0
2022-12-28 16:30:00+00:00,49.55,49.57,49.33,49.47,220847.0,49.446,1310.0
2022-12-28 16:45:00+00:00,49.45,49.45,49.06,49.07,246502.0,49.218,1240.0
2022-12-28 17:00:00+00:00,49.05,49.14,48.84,48.85,383018.0,49.013,1549.0
2022-12-28 17:15:00+00:00,48.84,49.05,48.82,49.05,265395.0,48.948,1120.0
2022-12-28 17:30:00+00:00,49.05,49.15,49.04,49.09,163644.0,49.094,771.0
2022-12-28 17:45:00+00:00,49.09,49.36,49.08,49.3,221637.0,49.24,1152.0
2022-12-28 18:00:00+00:00,49.3,49.55,49.28,49.45,211329.0,49.427,1101.0
2022-12-28 18:15:00+00:00,49.45,49.48,49.28,49.34,258439.0,49.341,1401.0
2022-12-28 18:30:00+00:00,49.34,49.35,49.09,49.13,186317.0,49.185,950.0
2022-12-28 18:45:00+00:00,49.13,49.2,49.02,49.03,171835.0,49.092,1032.0
2022-12-28 19:00:00+00:00,49.03,49.15,48.98,49.15,158805.0,49.054,986.0
2022-12-28 19:15:00+00:00,49.14,49.15,49.02,49.03,161657.0,49.093,923.0
2022-12-28 19:30:00+00:00,49.02,49.08,48.92,49.08,213708.0,48.995,1308.0
2022-12-28 19:45:00+00:00,49.08,49.1,48.93,48.97,215116.0,48.989,1063.0
2022-12-28 20:00:00+00:00,48.97,49.05,48.89,48.89,296877.0,48.948,1353.0
2022-12-28 20:15:00+00:00,48.9,49.05,48.88,48.9,334584.0,48.949,1434.0
2022-12-28 20:30:00+00:00,48.91,49.14,48.9,49.07,346268.0,49.043,2084.0
2022-12-28 20:45:00+00:00,49.07,49.24,49.04,49.1,1019379.0,49.147,6173.0
2022-12-29 14:30:00+00:00,49.4,50.03,49.34,49.95,828630.0,49.624,2918.0
2022-12-29 14:45:00+00:00,49.94,50.32,49.94,50.09,567094.0,50.123,3098.0
2022-12-29 15:00:00+00:00,50.09,50.64,50.06,50.59,507304.0,50.329,2861.0
2022-12-29 15:15:00+00:00,50.59,50.69,50.49,50.57,410815.0,50.606,2104.0
