date,open,high,low,close,volume
2016-07-01,13.14,13.78,12.1,12.5,211078162.0
2016-07-08,12.38,12.72,11.5,12.62,125004368.0
2016-07-15,12.79,13.55,12.61,13.13,109045822.0
2016-07-22,13.25,13.62,13.01,13.13,96036238.0
2016-07-29,14.03,14.89,13.62,13.74,151050027.0
2016-08-05,13.81,14.78,13.02,14.52,101742551.0
2016-08-12,14.55,14.99,14.03,14.93,74425672.0
2016-08-19,15.09,16.45,15.08,16.25,112716188.0
2016-08-26,16.08,16.81,15.38,16.51,119440074.0
2016-09-02,16.92,17.25,16.14,16.7,97554241.0
2016-09-09,16.8,17.86,16.69,16.81,107145590.0
2016-09-16,16.61,18.08,16.37,17.48,117680230.0
2016-09-23,17.63,18.05,16.72,17.48,106254657.0
2016-09-30,17.37,18.16,17.15,17.78,131697697.0
2016-10-07,17.99,18.34,17.28,17.61,158206199.0
2016-10-14,17.75,17.84,16.17,17.13,106806553.0
2016-10-21,17.02,17.66,16.8,16.94,78837152.0
2016-10-28,17.07,17.93,16.97,17.2,98849388.0
2016-11-04,17.55,17.76,16.45,16.68,100809580.0
2016-11-11,17.02,17.76,16.75,17.67,125262557.0
2016-11-18,17.77,19.34,17.53,19.21,136351747.0
2016-11-25,19.39,20.44,19.34,20.13,74370687.0
2016-12-02,20.18,20.28,18.18,18.79,139143639.0
2016-12-09,19.0,20.99,18.39,20.5,139789125.0
2016-12-16,20.33,21.0,19.49,20.27,113523193.0
2016-12-23,20.43,23.49,20.19,23.26,167688338.0
2016-12-30,23.37,23.64,21.75,21.92,81613386.0
2017-01-06,22.07,22.84,21.96,22.04,68090200.0
2017-01-13,21.94,22.87,21.7,22.18,92168614.0
2017-01-20,21.88,22.34,21.49,21.96,80498073.0
2017-01-27,21.96,24.1,21.74,23.97,103100034.0
2017-02-03,23.82,25.31,23.43,24.6,138300413.0
2017-02-10,24.53,24.89,23.9,24.05,102708836.0
2017-02-17,24.11,24.2,22.68,23.35,125262543.0
2017-02-24,23.65,24.06,22.64,23.24,70593207.0
2017-03-03,23.38,25.68,23.15,25.57,132967955.0
2017-03-10,25.5,25.92,24.81,25.18,109267708.0
2017-03-17,25.39,26.23,24.93,25.8,90921040.0
2017-03-24,25.99,29.87,25.43,28.43,200008536.0
2017-03-31,28.12,29.36,28.07,28.9,132778300.0
2017-04-07,28.97,29.04,28.02,28.52,87615053.0
2017-04-14,28.45,28.49,26.36,26.74,107482381.0
2017-04-21,26.91,28.08,26.83,27.32,91588234.0
2017-04-28,27.74,28.2,26.36,27.67,129064397.0
2017-05-05,27.85,28.32,27.45,28.2,82755576.0
2017-05-12,27.55,29.42,27.28,28.93,113984852.0
2017-05-19,29.08,29.19,26.96,27.82,101724582.0
2017-05-26,28.2,29.77,27.56,29.76,90660999.0
2017-06-02,29.96,31.38,29.88,31.21,88986986.0
2017-06-09,31.25,32.93,29.55,30.6,147321738.0
2017-06-16,30.06,32.24,29.21,29.86,152594979.0
2017-06-23,30.5,32.4,30.33,31.73,109667303.0
2017-06-30,32.39,32.96,29.7,29.86,197861942.0
2017-07-07,30.09,30.56,28.56,30.2,114101455.0
2017-07-14,30.16,31.95,29.75,31.79,103324318.0
