date,open,high,low,close,volume,wap,count
2016-06-28,1.15,1.15,1.13,1.15,333530240.0,1.14405,54276.0
2016-06-29,1.16,1.18,1.15,1.17,280210120.0,1.166125,42202.0
2016-06-30,1.17,1.18,1.16,1.18,315712160.0,1.172375,42438.0
2016-07-01,1.17,1.18,1.16,1.17,189031080.0,1.169575,30307.0
2016-07-05,1.16,1.19,1.15,1.18,335331040.0,1.175325,44923.0
2016-07-06,1.18,1.2,1.17,1.19,232527400.0,1.1896,37798.0
2016-07-07,1.2,1.23,1.19,1.22,348848920.0,1.2173,54476.0
2016-07-08,1.24,1.28,1.23,1.27,421963000.0,1.2631,61908.0
2016-07-11,1.29,1.31,1.29,1.3,374707160.0,1.302475,52902.0
2016-07-12,1.31,1.33,1.3,1.32,376229320.0,1.314025,54569.0
2016-07-13,1.32,1.33,1.32,1.32,264695840.0,1.32355,40029.0
2016-07-14,1.33,1.34,1.32,1.33,275705280.0,1.33465,40758.0
2016-07-15,1.31,1.32,1.3,1.32,376604880.0,1.314675,47066.0
2016-07-18,1.33,1.34,1.32,1.32,218000360.0,1.326675,33013.0
2016-07-19,1.32,1.34,1.32,1.34,239331160.0,1.3358,37752.0
2016-07-20,1.34,1.36,1.34,1.36,259597960.0,1.35285,37967.0
2016-07-21,1.35,1.36,1.33,1.33,315481720.0,1.33705,41170.0
2016-07-22,1.34,1.37,1.33,1.37,256715280.0,1.352675,35818.0
2016-07-25,1.38,1.4,1.37,1.39,276477920.0,1.38555,42780.0
2016-07-26,1.4,1.42,1.4,1.42,388633280.0,1.412675,61738.0
2016-07-27,1.43,1.43,1.39,1.4,380189200.0,1.4025,58005.0
2016-07-28,1.4,1.42,1.4,1.4,182855600.0,1.405625,30348.0
2016-07-29,1.41,1.43,1.38,1.43,360502680.0,1.416675,50417.0
2016-08-01,1.43,1.44,1.41,1.42,252222560.0,1.418275,37012.0
2016-08-02,1.43,1.43,1.39,1.4,217268600.0,1.4006,34019.0
2016-08-03,1.4,1.41,1.39,1.4,247252880.0,1.39835,36755.0
2016-08-04,1.41,1.44,1.41,1.43,228908880.0,1.428025,34466.0
