date,open,high,low,close,volume
2016-07-01,1.15,1.18,1.13,1.17,1118483600.0
2016-07-08,1.16,1.28,1.15,1.27,1338670360.0
2016-07-15,1.29,1.34,1.29,1.32,1667942480.0
2016-07-22,1.33,1.37,1.32,1.37,1289126480.0
2016-07-29,1.38,1.43,1.37,1.43,1588658680.0
2016-08-05,1.43,1.46,1.39,1.46,1201486680.0
2016-08-12,1.48,1.58,1.45,1.58,2678722800.0
2016-08-19,1.58,1.59,1.52,1.56,1739310640.0
2016-08-26,1.56,1.58,1.52,1.55,1300025000.0
2016-09-02,1.56,1.58,1.53,1.56,1393691160.0
2016-09-09,1.57,1.58,1.48,1.49,1355209760.0
2016-09-16,1.47,1.58,1.43,1.57,1972002000.0
2016-09-23,1.59,1.64,1.57,1.62,1405263840.0
2016-09-30,1.61,1.73,1.59,1.71,1437694520.0
2016-10-07,1.71,1.74,1.66,1.67,1248252280.0
2016-10-14,1.68,1.69,1.59,1.65,1333844440.0
2016-10-21,1.65,1.7,1.64,1.69,935722600.0
2016-10-28,1.7,1.82,1.7,1.76,1421003760.0
2016-11-04,1.77,1.8,1.66,1.69,1349612120.0
2016-11-11,1.74,2.22,1.67,2.2,3538955200.0
2016-11-18,2.2,2.37,2.09,2.33,3464088520.0
2016-11-25,2.35,2.38,2.31,2.35,1168264760.0
2016-12-02,2.35,2.37,2.12,2.21,2116152080.0
2016-12-09,2.25,2.42,2.23,2.3,1930975160.0
2016-12-16,2.25,2.52,2.19,2.51,3102771040.0
2016-12-23,2.49,2.75,2.48,2.74,3158646760.0
2016-12-30,2.8,3.0,2.57,2.67,6164030480.0
2017-01-06,2.61,2.66,2.48,2.58,3531110120.0
2017-01-13,2.59,2.73,2.54,2.59,2899733880.0
2017-01-20,2.57,2.67,2.48,2.6,1937560560.0
2017-01-27,2.6,2.8,2.59,2.79,1974448240.0
2017-02-03,2.77,2.9,2.7,2.86,2015666800.0
2017-02-10,2.85,3.02,2.82,2.84,3518200000.0
2017-02-17,2.83,2.85,2.62,2.68,3183122040.0
2017-02-24,2.71,2.8,2.39,2.54,3127120640.0
2017-03-03,2.55,2.63,2.41,2.46,2950276960.0
2017-03-10,2.43,2.53,2.38,2.48,2735652320.0
2017-03-17,2.49,2.65,2.49,2.65,2838157440.0
2017-03-24,2.67,2.75,2.63,2.69,2859415880.0
2017-03-31,2.64,2.75,2.59,2.72,1950166960.0
2017-04-07,2.72,2.74,2.46,2.51,3065315080.0
2017-04-14,2.51,2.52,2.39,2.39,1898365480.0
2017-04-21,2.4,2.54,2.25,2.54,1734503880.0
2017-04-28,2.57,2.65,2.55,2.61,1450635840.0
2017-05-05,2.62,2.67,2.56,2.6,1452752800.0
2017-05-12,2.61,3.26,2.56,3.2,5064148200.0
2017-05-19,3.24,3.46,3.18,3.4,5009607840.0
2017-05-26,3.44,3.63,3.39,3.55,3311065240.0
2017-06-02,3.59,3.68,3.55,3.59,2352190600.0
2017-06-09,3.57,4.21,3.56,3.74,6255491280.0
2017-06-16,3.64,3.87,3.55,3.79,5499296520.0
2017-06-23,3.84,4.04,3.83,3.85,3369367320.0
2017-06-30,3.88,3.92,3.59,3.61,4158836920.0
2017-07-07,3.63,3.69,3.46,3.67,2546195560.0
2017-07-14,3.74,4.16,3.72,4.12,4580453680.0
2017-07-21,4.16,4.23,4.03,4.2,3249892600.0
2017-07-28,4.21,4.25,3.94,4.11,2610867000.0
2017-08-04,4.12,4.25,4.02,4.18,2114328520.0
2017-08-11,4.21,4.36,3.82,3.9,3847735680.0
2017-08-18,3.99,4.24,3.98,4.04,3280885400.0
2017-08-25,4.06,4.18,3.93,4.1,2070579920.0
2017-09-01,4.11,4.3,4.06,4.26,1749027000.0
2017-09-08,4.21,4.21,4.07,4.09,1701408040.0
2017-09-15,4.14,4.5,4.13,4.5,2904685640.0
2017-09-22,4.63,4.78,4.44,4.48,4130508400.0
2017-09-29,4.44,4.49,4.25,4.47,3098117840.0
2017-10-06,4.52,4.55,4.43,4.53,1776283520.0
2017-10-13,4.57,4.88,4.55,4.86,2721159160.0
2017-10-20,4.89,4.99,4.81,4.92,2256018560.0
