date,open,high,low,close,volume
2016-07-01,103.33,108.48,103.3,108.08,97453734.0
2016-07-08,107.58,110.36,106.57,110.3,78284451.0
2016-07-15,110.68,112.3,110.66,111.8,77147139.0
2016-07-22,111.87,113.78,111.85,113.65,66191344.0
2016-07-29,113.56,115.54,113.22,115.23,75940933.0
2016-08-05,115.32,117.04,114.22,116.78,69188297.0
2016-08-12,116.82,117.37,116.28,117.2,53032378.0
2016-08-19,117.33,117.97,116.43,117.26,53561301.0
2016-08-26,117.09,118.01,116.08,116.78,76836810.0
2016-09-02,116.81,117.56,115.91,117.12,73695541.0
2016-09-09,117.29,118.12,114.26,114.28,77385251.0
2016-09-16,113.67,117.82,113.63,117.29,134629215.0
2016-09-23,117.56,119.22,116.55,118.33,82062935.0
2016-09-30,117.66,119.07,117.15,118.72,82048021.0
2016-10-07,118.53,119.17,117.89,118.47,70638743.0
2016-10-14,119.06,119.48,115.94,117.14,82582312.0
2016-10-21,117.1,118.41,116.67,118.15,64384831.0
2016-10-28,118.93,119.66,116.74,117.1,86965767.0
2016-11-04,117.53,117.53,113.45,113.65,97354929.0
2016-11-11,115.44,118.38,114.19,115.8,177736765.0
2016-11-18,115.84,118.1,114.03,117.32,101980373.0
2016-11-25,117.6,119.19,117.57,118.8,50929943.0
2016-12-02,118.64,119.51,115.22,115.7,101076448.0
2016-12-09,116.32,119.55,115.77,119.5,85282383.0
2016-12-16,118.95,121.11,118.47,119.6,109635555.0
2016-12-23,119.74,120.83,119.55,120.2,50081716.0
2016-12-30,120.44,121.52,118.14,118.48,62468754.0
2017-01-06,119.31,122.25,118.89,121.93,62104150.0
2017-01-13,122.02,123.37,121.6,123.16,73940591.0
2017-01-20,122.79,123.83,122.43,123.25,50016699.0
2017-01-27,123.16,125.93,122.57,125.8,64934629.0
2017-02-03,125.37,125.81,123.85,125.68,79458885.0
2017-02-10,125.42,127.56,125.35,127.38,55978484.0
2017-02-17,127.75,129.82,127.71,129.81,65858985.0
2017-02-24,130.03,130.7,129.38,130.26,51385735.0
2017-03-03,130.02,131.68,129.66,131.02,63158502.0
2017-03-10,130.56,131.6,130.14,131.39,66718917.0
2017-03-17,131.34,132.41,130.76,131.69,65372927.0
2017-03-24,131.65,132.43,129.68,130.63,98567874.0
2017-03-31,129.72,132.74,129.4,132.38,74766674.0
2017-04-07,132.48,133.48,131.5,131.97,86335760.0
2017-04-14,132.1,132.57,130.38,130.4,72548552.0
2017-04-21,130.8,132.88,130.73,132.56,70107470.0
2017-04-28,134.02,136.34,133.8,135.99,82040327.0
2017-05-05,136.45,137.54,136.38,137.54,72557618.0
2017-05-12,137.6,138.63,137.33,138.6,75482779.0
2017-05-19,138.63,139.64,135.87,137.84,136555309.0
2017-05-26,138.14,141.33,138.09,141.22,72694810.0
2017-06-02,141.13,143.49,140.57,143.46,85323990.0
2017-06-09,143.44,143.9,138.11,139.98,151117999.0
2017-06-16,138.84,140.93,137.47,138.15,245854380.0
2017-06-23,139.45,141.42,139.28,141.24,118663106.0
2017-06-30,142.01,142.29,136.25,137.64,235128560.0
2017-07-07,138.25,138.43,135.8,137.76,120612273.0
2017-07-14,137.84,142.3,137.5,142.12,119018862.0
2017-07-21,142.26,144.44,141.64,144.11,105602154.0
2017-07-28,144.07,145.96,142.3,143.84,139776356.0
2017-08-04,144.22,144.52,142.61,143.65,122166588.0
2017-08-11,143.9,145.47,140.89,142.1,153510917.0
2017-08-18,143.19,144.96,140.65,141.23,163887405.0
2017-08-25,141.23,143.35,140.18,141.97,119002008.0
2017-09-01,142.41,146.59,141.06,146.0,107558203.0
2017-09-08,145.53,145.88,143.6,144.21,97560066.0
2017-09-15,145.31,146.59,145.29,146.06,110520799.0
2017-09-22,145.86,146.37,143.85,144.32,99349340.0
2017-09-29,143.75,145.56,142.1,145.45,137545316.0
2017-10-06,145.68,147.66,144.93,147.66,96333726.0
2017-10-13,147.86,148.51,146.95,148.34,60298359.0
2017-10-20,148.7,149.21,147.27,148.71,80330029.0
2017-10-27,149.01,151.52,146.33,151.24,117877154.0
2017-11-03,151.08,153.29,150.77,153.27,101255487.0
2017-11-10,153.13,154.54,152.11,153.68,89612237.0
2017-11-17,153.13,154.89,151.78,153.95,87657846.0
