date,open,high,low,close,volume,wap,count
2025-02-13,35.06,44.0,34.99,36.0,353023.0,36.0,0
2025-02-14,37.0,38.25,35.5,36.65,205174.0,36.65,0
2025-02-18,40.53,47.15,39.0,47.15,414158.0,47.15,0
2025-02-19,46.51,48.5,45.5,46.0,190054.0,46.0,0
2025-02-20,48.98,49.49,46.71,48.26,406767.0,48.26,0
2025-02-21,48.99,50.69,48.0,50.37,1121088.0,50.37,0
2025-02-24,52.0,53.0,46.21,50.37,7528103.0,50.37,0
2025-02-25,48.3,55.01,47.81,48.16,5775187.0,48.16,0
2025-02-26,46.15,49.91,45.3,46.58,6145693.0,46.58,0
2025-02-27,46.04,47.87,41.58,45.16,7804194.0,45.16,0
2025-02-28,45.23,48.7,43.75,46.85,4924045.0,46.85,0
2025-03-03,48.49,50.88,47.6,50.31,2614086.0,50.31,0
2025-03-04,46.69,50.1,45.09,48.69,4492439.0,48.69,0
2025-03-05,47.6,49.4,46.5,48.47,3483892.0,48.47,0
2025-03-06,47.41,49.06,45.24,46.5,2596700.0,46.5,0
2025-03-07,49.2,51.08,47.16,51.0,5530957.0,51.0,0
2025-03-10,50.49,53.67,49.55,53.0,3262272.0,53.0,0
2025-03-11,51.84,53.19,49.82,52.16,2067939.0,52.16,0
2025-03-12,53.0,53.1,50.38,50.44,1114702.0,50.44,0
2025-03-13,50.0,50.87,47.86,48.44,1430166.0,48.44,0
2025-03-14,49.43,54.94,49.43,54.82,3240369.0,54.82,0
2025-03-17,54.8,58.36,54.74,55.65,1870318.0,55.65,0
2025-03-18,55.43,57.89,54.57,56.42,1620961.0,56.42,0
2025-03-19,56.3,57.61,55.67,56.33,1246308.0,56.33,0
2025-03-20,56.51,57.17,54.92,56.21,1272361.0,56.21,0
2025-03-21,55.1,55.45,51.91,53.96,2737108.0,53.96,0
2025-03-24,54.61,55.69,51.84,52.99,1592170.0,52.99,0
2025-03-25,52.51,53.18,51.76,52.2,1568673.0,52.2,0
2025-03-26,53.53,53.7,51.98,52.62,772892.0,52.62,0
2025-03-27,51.95,54.24,51.71,52.88,952998.0,52.88,0
2025-03-28,52.21,52.89,48.45,48.97,2667713.0,48.97,0
2025-03-31,47.41,48.4,47.02,47.61,1163824.0,47.61,0
2025-04-01,47.55,49.36,46.58,48.11,1356839.0,48.11,0
2025-04-02,47.15,48.71,46.51,47.67,1113789.0,47.67,0
2025-04-03,44.8,44.8,37.55,38.26,5552232.0,38.26,0
2025-04-04,35.72,35.87,28.36,30.11,8437861.0,30.11,0
2025-04-07,29.22,32.98,27.88,31.48,3943910.0,31.48,0
2025-04-08,32.77,35.84,31.65,32.35,3712823.0,32.35,0
2025-04-09,31.92,39.65,31.26,36.58,4152755.0,36.58,0
2025-04-10,34.61,35.03,30.51,31.07,2900328.0,31.07,0
2025-04-11,30.56,32.05,28.27,31.97,3744354.0,31.97,0
2025-04-14,33.75,36.17,32.48,33.55,2695486.0,33.55,0
2025-04-15,33.3,34.56,32.89,33.23,1250409.0,33.23,0
2025-04-16,32.3,33.12,30.75,32.03,1527404.0,32.03,0
2025-04-17,31.75,32.66,30.39,31.29,1247770.0,31.29,0
2025-04-21,31.07,31.07,28.94,29.81,1594600.0,29.81,0
2025-04-22,30.26,31.12,29.31,29.62,1943450.0,29.62,0
2025-04-23,31.99,32.78,30.2,30.36,1712769.0,30.36,0
2025-04-24,30.81,32.98,30.31,32.29,1742283.0,32.29,0
2025-04-25,32.26,33.37,31.6,32.85,685488.0,32.85,0
2025-04-28,32.63,33.0,31.66,32.27,676571.0,32.27,0
2025-04-29,31.39,33.04,31.39,32.94,638798.0,32.94,0
2025-04-30,31.86,32.47,31.01,32.11,1208767.0,32.11,0
2025-05-01,32.48,34.19,32.48,32.59,980513.0,32.59,0
2025-05-02,33.04,35.41,33.04,34.4,1485475.0,34.4,0
2025-05-05,33.83,35.23,33.52,34.61,1295060.0,34.61,0
2025-05-06,34.02,34.43,33.46,33.83,673679.0,33.83,0
2025-05-07,34.0,35.56,33.37,34.97,2103364.0,34.97,0
2025-05-08,34.97,37.76,33.13,36.66,2749532.0,36.66,0
2025-05-09,37.96,38.79,37.28,37.74,1320415.0,37.74,0
2025-05-12,41.14,42.24,40.0,41.27,4062273.0,41.27,0
2025-05-13,41.85,43.8,41.3,42.0,1357718.0,42.0,0
2025-05-14,42.0,43.43,41.01,41.93,1202899.0,41.93,0
2025-05-15,41.17,41.87,39.75,40.54,1205768.0,40.54,0
2025-05-16,40.65,41.0,39.92,40.44,1177188.0,40.44,0
2025-05-19,39.33,39.5,38.53,38.78,996790.0,38.78,0
2025-05-20,38.78,41.12,38.45,40.18,1081991.0,40.18,0
2025-05-21,40.04,40.48,38.35,38.6,1071423.0,38.6,0
2025-05-22,38.4,39.29,37.77,37.84,845510.0,37.84,0
2025-05-23,36.19,37.57,35.79,37.28,632698.0,37.28,0
2025-05-27,37.95,38.62,37.5,38.18,637126.0,38.18,0
2025-05-28,38.4,38.91,37.8,38.58,509974.0,38.58,0
2025-05-29,39.04,39.23,37.68,38.6,864326.0,38.6,0
2025-05-30,38.22,38.45,36.68,37.69,1900287.0,37.69,0
2025-06-02,37.54,37.88,36.2,37.33,930776.0,37.33,0
2025-06-03,37.41,39.24,36.87,38.64,788733.0,38.64,0
2025-06-04,38.64,40.27,38.35,39.82,1334159.0,39.82,0
2025-06-05,39.38,40.45,37.33,39.12,3750010.0,39.12,0
2025-06-06,39.7,40.16,38.53,39.15,6087934.0,39.15,0
2025-06-09,40.36,42.24,39.55,41.82,4524439.0,41.82,0
