date,open,high,low,close,volume
2025-02-14,35.06,44.0,34.99,36.65,558197.0
2025-02-21,40.53,50.69,39.0,50.37,2132067.0
2025-02-28,52.0,55.01,41.58,46.85,32177222.0
2025-03-07,48.49,51.08,45.09,51.0,18718074.0
2025-03-14,50.49,54.94,47.86,54.82,11115448.0
2025-03-21,54.8,58.36,51.91,53.96,8747056.0
2025-03-28,54.61,55.69,48.45,48.97,7554446.0
2025-04-04,47.41,49.36,28.36,30.11,17624545.0
2025-04-11,29.22,39.65,27.88,31.97,18454170.0
2025-04-18,33.75,36.17,30.39,31.29,6721069.0
2025-04-25,31.07,33.37,28.94,32.85,7678590.0
2025-05-02,32.63,35.41,31.01,34.4,4990124.0
2025-05-09,33.83,38.79,33.13,37.74,8142050.0
2025-05-16,41.14,43.8,39.75,40.44,9005846.0
2025-05-23,39.33,41.12,35.79,37.28,4628412.0
2025-05-30,37.95,39.23,36.68,37.69,3911713.0
2025-06-06,37.54,40.45,36.2,39.15,12891612.0
2025-06-13,40.36,43.23,39.44,42.5,11926207.0
2025-06-20,43.37,48.21,42.56,46.58,7725726.0
2025-06-27,46.36,49.82,45.8,47.15,6945312.0
2025-07-04,47.23,47.34,44.17,46.41,5282662.0
2025-07-11,47.14,47.75,45.09,46.09,4671616.0
2025-07-18,44.63,44.85,40.3,42.19,7999260.0
2025-07-25,41.47,43.65,40.55,42.48,4561781.0
2025-08-01,43.08,44.62,40.1,41.33,3784751.0
2025-08-08,42.11,44.85,40.53,44.34,5092166.0
2025-08-15,45.7,48.46,42.82,44.54,11534528.0
2025-08-22,44.25,47.19,43.2,46.37,5703333.0
2025-08-29,46.36,52.94,46.01,52.47,6916580.0
2025-09-05,51.01,68.67,50.07,68.55,16116940.0
2025-09-12,68.65,86.96,67.86,86.13,20665923.0
2025-09-19,85.3,102.99,85.12,102.21,23106361.0
2025-09-26,105.76,110.21,93.53,97.12,29126122.0
2025-10-03,104.25,137.05,103.34,128.41,37106300.0
2025-10-10,133.6,134.79,115.68,116.91,24596207.0
2025-10-17,128.25,150.82,120.96,140.16,28114130.0
2025-10-24,145.91,187.36,142.76,186.16,26913852.0
2025-10-31,191.5,209.77,164.56,199.33,30341391.0
2025-11-07,210.49,240.0,185.0,239.48,42627963.0
2025-11-14,247.0,284.76,234.13,254.16,59013330.0
2025-11-21,253.4,282.8,183.0,200.27,65279719.0
2025-11-28,206.04,237.77,205.13,223.28,37116619.0
2025-12-05,212.4,229.45,187.7,228.47,36092073.0
2025-12-12,235.66,244.19,204.8,206.18,25902240.0
2025-12-19,214.45,243.71,199.5,237.61,24775051.0
2025-12-26,249.65,261.5,226.6,250.05,16442778.0
2026-01-02,241.56,275.8,235.24,275.24,16768810.0
2026-01-09,284.31,384.0,266.33,377.41,63748780.0
2026-01-16,374.12,432.02,373.97,413.62,43793387.0
2026-01-23,413.5,509.5,412.16,473.83,53879711.0
2026-01-30,476.85,676.69,454.33,576.25,65265579.0
2026-02-06,588.81,720.0,562.1,597.95,86375923.0
2026-02-13,592.17,668.0,540.14,626.56,63551412.0
2026-02-20,611.55,650.29,574.5,649.97,51963887.0
2026-02-27,659.59,691.54,607.0,635.36,72150174.0
2026-03-06,618.64,648.8,526.63,527.33,56028123.0
2026-03-13,517.0,671.67,517.0,661.62,59745969.0
2026-03-20,687.59,777.6,687.43,709.71,58212712.0
2026-03-27,716.0,748.78,599.37,615.83,56171821.0
2026-04-03,642.12,710.85,558.58,701.59,50885067.0
2026-04-10,720.21,873.95,687.67,851.77,43844999.0
2026-04-17,867.09,965.0,866.95,920.99,50020721.0
2026-04-24,931.11,1000.81,895.74,989.9,34963829.0
2026-05-01,1020.49,1189.24,980.28,1187.0,40813925.0
2026-05-08,1221.78,1564.0,1205.0,1562.34,63228080.0
2026-05-15,1588.04,1600.0,1315.75,1407.61,44658949.0
2026-05-22,1432.24,1546.09,1277.33,1478.69,39294651.0
2026-05-29,1535.77,1708.83,1520.0,1694.98,26504446.0
2026-06-05,1731.15,1861.0,1514.36,1559.32,33153031.0
2026-06-12,1634.0,2021.65,1536.0,1980.1,36463045.0
2026-06-19,2098.63,2191.69,1938.0,2184.75,21690860.0
2026-06-26,2293.32,2354.39,1861.01,2090.71,31508509.0
2026-07-03,2090.71,2280.8,1693.0,1745.0,28619877.0
2026-07-10,1828.68,1952.59,1485.02,1915.92,33848502.0
2026-07-17,1792.86,1812.54,1325.03,1354.82,45596150.0
2026-07-24,1409.56,1696.37,1375.61,1436.56,35538636.0
2026-07-31,1462.99,1462.99,998.19,1214.83,70262235.0
