date,open,high,low,close,volume,wap,count
2016-06-28,201.5,203.2,201.12,203.2,123612836.0,202.086,507942
2016-06-29,204.82,206.93,204.72,206.66,107108393.0,206.008,417726
2016-06-30,207.21,209.54,206.56,209.47,116972308.0,208.345,446445
2016-07-01,209.36,210.49,209.29,209.92,78984781.0,209.997,319563
2016-07-05,208.96,209.08,207.71,208.41,84414697.0,208.33,338701
2016-07-06,207.83,209.8,207.06,209.66,81019066.0,208.596,337808
2016-07-07,209.87,210.65,208.63,209.53,68073147.0,209.588,282641
2016-07-08,211.05,212.94,210.77,212.65,89820510.0,212.098,347785
2016-07-11,213.19,214.07,212.95,213.4,58385635.0,213.626,224688
2016-07-12,214.52,215.3,214.25,214.95,69764775.0,214.905,266159
2016-07-13,215.44,215.45,214.35,214.92,62326105.0,214.91,240286
2016-07-14,216.4,216.67,215.66,216.12,67714587.0,216.227,249718
2016-07-15,216.78,216.82,215.3,215.83,61845914.0,215.954,224890
2016-07-18,215.97,216.6,215.67,216.41,38158136.0,216.326,163289
2016-07-19,215.92,216.23,215.63,216.19,39236669.0,215.922,157036
2016-07-20,216.75,217.37,216.24,217.09,42881930.0,217.012,158039
2016-07-21,216.94,217.22,215.75,216.27,51636428.0,216.505,195583
2016-07-22,216.41,217.3,216.1,217.24,46216015.0,216.887,175275
2016-07-25,217.0,217.06,215.97,216.65,42875443.0,216.382,162746
2016-07-26,216.53,217.17,215.76,216.75,56544823.0,216.474,213218
2016-07-27,217.19,217.27,215.62,216.52,63323659.0,216.481,237677
2016-07-28,216.28,217.11,215.75,216.77,54279457.0,216.398,196794
2016-07-29,216.46,217.54,216.13,217.12,60580868.0,217.052,222172
2016-08-01,217.19,217.65,216.4,216.94,59329540.0,216.899,226432
2016-08-02,216.65,216.83,214.57,215.55,72796484.0,215.422,281350
2016-08-03,215.48,216.25,215.13,216.18,41852984.0,215.797,158459
2016-08-04,216.3,216.78,214.25,216.41,38372335.0,216.354,158688
