date,open,high,low,close,volume,wap,count
2021-10-19 13:30:00+00:00,448.92,449.27,448.27,448.63,5569196.0,448.798,33603
2021-10-19 14:00:00+00:00,448.63,449.95,448.57,449.85,6045964.0,449.407,34325
2021-10-19 15:00:00+00:00,449.85,450.32,449.83,450.21,4404323.0,450.034,25499
2021-10-19 16:00:00+00:00,450.21,450.56,450.0,450.53,2925771.0,450.25,16725
2021-10-19 17:00:00+00:00,450.53,450.55,450.18,450.41,2791346.0,450.332,16812
2021-10-19 18:00:00+00:00,450.41,450.47,449.6,450.0,4204183.0,450.047,25154
2021-10-19 19:00:00+00:00,449.99,450.7,449.89,450.68,9416711.0,450.304,47299
2021-10-20 13:30:00+00:00,451.13,452.01,451.01,451.59,4768622.0,451.425,27961
2021-10-20 14:00:00+00:00,451.59,452.74,451.33,452.08,6087646.0,452.196,37739
2021-10-20 15:00:00+00:00,452.07,452.54,451.8,452.51,3619755.0,452.151,22510
2021-10-20 16:00:00+00:00,452.5,452.57,452.2,452.5,1987706.0,452.411,12263
2021-10-20 17:00:00+00:00,452.5,452.53,451.02,451.8,4609325.0,451.733,27955
2021-10-20 18:00:00+00:00,451.81,452.36,451.72,452.23,3738111.0,452.141,21042
2021-10-20 19:00:00+00:00,452.23,452.51,451.63,452.39,9024779.0,452.061,46857
2021-10-21 13:30:00+00:00,451.76,452.2,451.31,452.01,3603248.0,451.733,21298
2021-10-21 14:00:00+00:00,452.0,452.86,451.77,452.33,4197688.0,452.312,25801
2021-10-21 15:00:00+00:00,452.35,452.58,451.36,451.95,4465105.0,451.876,25923
2021-10-21 16:00:00+00:00,451.96,452.27,451.77,452.13,2728757.0,452.073,15755
2021-10-21 17:00:00+00:00,452.12,452.42,451.76,451.92,2493641.0,452.187,14522
2021-10-21 18:00:00+00:00,451.93,452.49,451.91,452.49,2566699.0,452.249,15538
2021-10-21 19:00:00+00:00,452.5,453.83,452.5,453.61,8775229.0,453.247,43607
2021-10-22 13:30:00+00:00,453.13,454.21,452.91,453.86,4847355.0,453.718,27302
2021-10-22 14:00:00+00:00,453.84,454.67,453.35,453.5,4623469.0,453.936,29268
2021-10-22 15:00:00+00:00,453.49,453.93,451.05,451.81,9356475.0,452.135,55194
2021-10-22 16:00:00+00:00,451.82,453.35,451.35,452.69,5670033.0,452.464,32970
2021-10-22 17:00:00+00:00,452.7,453.28,452.49,452.54,2843988.0,452.92,17711
2021-10-22 18:00:00+00:00,452.53,454.08,452.53,453.13,4543541.0,453.382,26347
2021-10-22 19:00:00+00:00,453.15,453.67,452.7,453.13,11133360.0,453.174,64579
2021-10-25 13:30:00+00:00,454.28,454.3,452.39,453.67,4526303.0,453.304,26129
2021-10-25 14:00:00+00:00,453.68,454.28,453.29,454.18,4704019.0,453.841,29387
2021-10-25 15:00:00+00:00,454.17,454.91,454.01,454.89,3737579.0,454.496,22812
2021-10-25 16:00:00+00:00,454.9,455.57,454.74,455.38,2847401.0,455.264,17268
2021-10-25 17:00:00+00:00,455.38,455.9,455.25,455.43,2626272.0,455.559,16053
2021-10-25 18:00:00+00:00,455.4,455.89,455.2,455.51,3097155.0,455.54,19242
2021-10-25 19:00:00+00:00,455.52,455.59,454.88,455.49,9188725.0,455.247,47775
2021-10-26 13:30:00+00:00,457.2,457.8,456.78,457.4,4551711.0,457.422,24867
2021-10-26 14:00:00+00:00,457.41,458.49,457.18,458.13,6109248.0,458.033,35965
2021-10-26 15:00:00+00:00,458.12,458.35,457.11,457.15,4453170.0,457.828,27052
2021-10-26 16:00:00+00:00,457.15,457.26,455.56,456.23,6795235.0,456.408,38670
2021-10-26 17:00:00+00:00,456.22,456.97,455.82,456.61,4566205.0,456.378,28562
2021-10-26 18:00:00+00:00,456.61,457.17,456.53,457.06,4863294.0,456.864,31037
2021-10-26 19:00:00+00:00,457.07,457.43,455.89,455.97,10017386.0,456.775,56592
2021-10-27 13:30:00+00:00,456.45,457.06,455.33,457.02,5040790.0,456.239,29736
2021-10-27 14:00:00+00:00,457.03,457.16,455.54,455.73,6677195.0,456.165,39605
2021-10-27 15:00:00+00:00,455.73,456.44,455.61,455.91,3683140.0,456.089,21481
2021-10-27 16:00:00+00:00,455.94,456.5,455.78,456.19,2286083.0,456.173,14601
2021-10-27 17:00:00+00:00,456.19,456.97,456.11,456.96,2614455.0,456.68,16507
2021-10-27 18:00:00+00:00,456.96,457.13,456.18,456.2,3518003.0,456.738,20893
2021-10-27 19:00:00+00:00,456.19,456.29,453.86,453.91,15960316.0,454.72,83431
