date,open,high,low,close,volume
2016-07-01,13.46,14.55,13.29,14.43,239156715.0
2016-07-08,13.98,14.65,13.87,14.45,197484840.0
2016-07-15,14.66,15.17,14.63,14.69,215310135.0
2016-07-22,14.64,15.32,14.55,14.82,192274950.0
2016-07-29,14.82,15.69,14.76,15.65,193897440.0
2016-08-05,15.7,15.78,14.76,15.34,224964960.0
2016-08-12,15.2,15.44,14.89,15.04,118431675.0
2016-08-19,15.07,15.3,14.82,15.0,107114070.0
2016-08-26,14.94,15.23,14.59,14.67,157570230.0
2016-09-02,14.68,14.69,13.08,13.19,284502105.0
2016-09-09,13.29,13.77,12.91,12.96,175524720.0
2016-09-16,13.03,13.71,12.9,13.69,175335930.0
2016-09-23,13.8,14.01,13.44,13.83,142199430.0
2016-09-30,13.77,14.07,13.3,13.6,141757305.0
2016-10-07,14.04,14.38,13.05,13.11,245382615.0
2016-10-14,13.42,13.61,13.09,13.1,167875725.0
2016-10-21,13.14,13.78,12.8,13.34,294209850.0
2016-10-28,13.4,14.25,13.32,13.33,325415595.0
2016-11-04,13.47,13.5,12.4,12.7,289081500.0
2016-11-11,12.91,13.17,12.03,12.57,322096500.0
2016-11-18,12.53,12.87,11.88,12.33,291850785.0
2016-11-25,12.34,13.15,12.25,13.11,208582920.0
2016-12-02,13.03,13.29,12.0,12.1,268794465.0
2016-12-09,12.17,12.92,12.17,12.81,233333940.0
2016-12-16,12.85,13.53,12.74,13.5,256317060.0
2016-12-23,13.5,14.23,13.32,14.22,269570625.0
2016-12-30,14.33,14.92,14.11,14.25,231554730.0
2017-01-06,14.35,15.35,14.06,15.27,335205330.0
2017-01-13,15.26,15.86,15.04,15.85,267587520.0
2017-01-20,15.8,16.58,15.62,16.32,248854560.0
2017-01-27,16.39,17.23,16.37,16.86,277358295.0
2017-02-03,16.84,17.06,16.47,16.76,203254980.0
2017-02-10,16.73,18.08,16.71,17.95,285673785.0
2017-02-17,18.05,19.16,17.61,18.15,411513060.0
2017-02-24,18.37,18.9,16.68,17.13,450988935.0
2017-03-03,16.55,16.99,16.13,16.77,358339905.0
2017-03-10,16.57,16.93,16.2,16.25,219931725.0
2017-03-17,16.29,17.72,16.19,17.43,355806690.0
2017-03-24,17.37,17.65,16.68,17.54,296310465.0
2017-03-31,17.37,18.8,17.32,18.55,311510670.0
2017-04-07,19.13,20.33,18.97,20.17,520495065.0
2017-04-14,20.61,20.92,19.69,20.27,361727265.0
2017-04-21,20.17,20.61,19.86,20.37,268099095.0
2017-04-28,20.62,20.99,20.39,20.94,299793720.0
2017-05-05,20.99,21.84,19.38,20.56,519393660.0
2017-05-12,20.71,21.8,20.39,21.65,393540600.0
2017-05-19,21.21,21.35,20.35,20.72,355037865.0
2017-05-26,20.84,21.7,20.23,21.68,324503145.0
2017-06-02,21.73,22.99,21.72,22.66,380826465.0
2017-06-09,22.57,25.12,22.28,23.82,672230925.0
2017-06-16,23.83,25.62,23.37,24.76,627457350.0
2017-06-23,25.0,25.8,24.52,25.56,384933870.0
2017-06-30,25.77,25.8,23.61,24.11,405905850.0
2017-07-07,24.68,24.76,20.42,20.88,673419330.0
2017-07-14,20.86,22.21,20.21,21.85,606442125.0
2017-07-21,21.7,22.11,20.9,21.89,388474155.0
2017-07-28,22.02,23.17,21.75,22.34,403653750.0
2017-08-04,22.37,23.82,20.75,23.79,600203325.0
2017-08-11,23.82,24.67,23.52,23.86,383602695.0
2017-08-18,24.31,24.51,23.05,23.16,246884700.0
2017-08-25,23.05,23.78,22.12,23.2,281939100.0
2017-09-01,23.15,23.9,22.58,23.69,205497675.0
2017-09-08,23.59,23.7,22.77,22.89,179703015.0
2017-09-15,23.42,25.33,23.33,25.32,354688095.0
2017-09-22,25.35,25.97,23.39,23.41,372338040.0
2017-09-29,23.54,23.83,22.36,22.74,363364320.0
2017-10-06,22.84,24.01,22.09,23.79,375746220.0
2017-10-13,23.31,23.99,22.84,23.7,312731505.0
2017-10-20,23.58,24.2,22.96,23.01,268427070.0
2017-10-27,23.32,23.33,21.11,21.39,334475265.0
2017-11-03,21.28,22.17,19.51,20.41,527747610.0
2017-11-10,20.47,20.56,19.75,20.2,309815985.0
2017-11-17,20.01,21.78,19.94,21.0,456025245.0
2017-11-24,20.92,21.22,20.32,21.04,289489845.0
2017-12-01,20.88,21.33,20.08,20.44,314874255.0
2017-12-08,20.43,21.24,20.0,21.01,291224610.0
2017-12-15,20.96,23.16,20.92,22.9,410241630.0
2017-12-22,22.99,23.12,21.65,21.68,306920625.0
2017-12-29,21.59,21.59,20.64,20.76,203889375.0
2018-01-05,20.81,21.68,20.38,21.11,263288895.0
2018-01-12,21.07,22.99,21.03,22.41,381163200.0
2018-01-19,22.5,23.49,22.32,23.33,267122115.0
2018-01-26,23.3,24.03,22.38,22.86,323567535.0
2018-02-02,22.66,23.98,22.55,22.92,247085790.0
2018-02-09,22.53,23.24,19.65,20.69,442757190.0
2018-02-16,21.08,22.87,20.42,22.37,302931660.0
2018-02-23,22.3,23.67,22.1,23.47,230412255.0
2018-03-02,23.57,24.0,21.53,22.34,319151190.0
2018-03-09,22.16,22.52,21.45,21.81,252275145.0
2018-03-16,21.91,23.15,21.27,21.42,399918795.0
2018-03-23,21.1,21.5,20.03,20.1,336227565.0
2018-03-30,20.49,20.51,16.55,17.74,659215215.0
2018-04-06,17.08,20.62,16.31,19.95,1022073540.0
2018-04-13,20.06,20.63,19.28,20.02,489360405.0
2018-04-20,19.93,20.07,18.83,19.35,359333610.0
2018-04-27,19.42,19.63,18.43,19.6,261398970.0
2018-05-04,19.57,20.46,18.35,19.61,457771035.0
2018-05-11,19.83,20.87,19.68,20.07,346690005.0
2018-05-18,20.22,20.33,18.27,18.45,383115885.0
2018-05-25,18.76,19.43,18.23,18.59,359841705.0
2018-06-01,18.57,19.67,18.41,19.45,276045225.0
