date,open,high,low,close,volume,wap,count
2016-06-27,24.64,24.96,24.35,24.9,9299590.0,24.72,45026
2016-06-28,25.22,25.37,25.09,25.26,8700869.0,25.26,35643
2016-06-29,25.68,25.97,25.67,25.8,7659460.0,25.846,36695
2016-06-30,26.07,26.42,25.83,26.23,8968295.0,26.15,37218
2016-07-01,26.63,26.65,26.49,26.53,5584706.0,26.565,25602
2016-07-05,26.16,26.3,26.12,26.26,5086240.0,26.218,27675
2016-07-06,25.8,26.2,25.75,26.15,4769669.0,25.998,25886
2016-07-07,26.25,26.53,26.23,26.31,4870844.0,26.351,24255
2016-07-08,26.5,26.8,26.41,26.73,5328904.0,26.677,28994
2016-07-11,27.16,27.37,27.13,27.2,5623701.0,27.255,26218
2016-07-12,27.2,27.29,26.84,26.97,7776149.0,26.966,37767
2016-07-13,26.92,27.01,26.76,26.89,10165324.0,26.903,41430
2016-07-14,27.0,27.23,26.64,27.11,11096468.0,26.969,45704
2016-07-15,27.19,27.26,26.97,27.01,5521486.0,27.05,21831
2016-07-18,27.31,27.65,27.15,27.64,7104527.0,27.52,31082
2016-07-19,27.38,27.52,27.19,27.27,4522552.0,27.313,22557
2016-07-20,27.4,27.59,27.28,27.55,5220910.0,27.464,25698
2016-07-21,27.67,27.82,27.42,27.48,5297884.0,27.606,25882
2016-07-22,27.53,27.79,27.47,27.74,4688872.0,27.666,24002
2016-07-25,27.49,27.92,27.49,27.86,7259417.0,27.81,31521
2016-07-26,27.97,28.41,27.95,28.33,9463960.0,28.233,46904
2016-07-27,28.49,28.49,27.94,28.1,6467922.0,28.141,30769
2016-07-28,28.29,28.39,27.99,28.14,4237380.0,28.124,20004
2016-07-29,28.1,28.1,27.66,27.78,5954585.0,27.821,25346
2016-08-01,28.35,28.75,28.35,28.62,6808692.0,28.563,30382
2016-08-02,28.49,28.49,28.06,28.16,5432059.0,28.207,28163
2016-08-03,28.08,28.24,27.91,28.16,3639483.0,28.035,17572
2016-08-04,28.22,28.43,28.12,28.4,2946649.0,28.342,15419
2016-08-05,28.68,28.85,28.63,28.79,5259909.0,28.761,24236
2016-08-08,28.76,29.14,28.71,29.09,7161230.0,29.03,32641
2016-08-09,29.18,29.43,29.14,29.4,6275230.0,29.309,29653
2016-08-10,29.42,29.45,29.18,29.22,7069977.0,29.256,30266
2016-08-11,29.14,29.37,28.8,29.14,8760184.0,29.066,28130
2016-08-12,29.14,29.27,29.06,29.24,2708772.0,29.192,14269
2016-08-15,29.38,29.45,29.31,29.39,2947882.0,29.373,14404
2016-08-16,29.16,29.2,28.97,29.08,5234926.0,29.055,24740
2016-08-17,28.99,29.0,28.74,28.98,6574666.0,28.894,32190
2016-08-18,28.91,29.2,28.84,29.16,3891143.0,29.061,17414
2016-08-19,28.63,28.69,28.51,28.64,5747003.0,28.615,25371
2016-08-22,28.3,28.48,28.22,28.4,5907039.0,28.36,31135
2016-08-23,28.6,28.69,28.46,28.5,5000696.0,28.58,24033
2016-08-24,28.57,28.6,28.34,28.39,4947059.0,28.448,21522
2016-08-25,28.63,28.84,28.52,28.6,5814195.0,28.627,27979
2016-08-26,28.6,28.9,28.43,28.64,4903988.0,28.672,25305
2016-08-29,28.58,28.77,28.56,28.7,2866281.0,28.688,15107
2016-08-30,28.57,28.69,28.53,28.62,4596576.0,28.616,21949
2016-08-31,28.7,28.98,28.67,28.74,4078477.0,28.783,19010
2016-09-01,28.69,29.03,28.63,28.96,5475938.0,28.862,26331
2016-09-02,29.1,29.21,29.03,29.14,5402022.0,29.12,26332
2016-09-06,29.51,29.72,29.3,29.49,6012019.0,29.464,29992
2016-09-07,30.35,30.55,29.78,29.82,13516053.0,30.075,58829
2016-09-08,29.91,29.92,29.64,29.79,5501167.0,29.781,26688
2016-09-09,29.3,29.33,28.55,28.59,7562638.0,28.86,39085
2016-09-12,28.55,29.04,28.2,28.99,4960202.0,28.825,26025
2016-09-13,28.71,28.78,28.31,28.49,6086842.0,28.522,33450
2016-09-14,28.54,28.76,28.36,28.62,4674692.0,28.609,22715
2016-09-15,28.61,29.27,28.61,29.18,5758974.0,29.024,30557
2016-09-16,29.13,29.22,28.77,28.91,5398815.0,28.935,25362
2016-09-19,29.91,30.12,29.87,29.93,6839921.0,29.975,32224
2016-09-20,30.16,30.24,29.88,29.9,5323153.0,30.012,27132
2016-09-21,30.09,30.56,30.05,30.5,7193042.0,30.263,31911
2016-09-22,30.76,30.96,30.51,30.66,4815545.0,30.722,26149
2016-09-23,30.65,30.67,30.02,30.12,7419120.0,30.258,35867
