date,open,high,low,close,volume
2016-07-01,24.64,26.65,24.35,26.53,40212920.0
2016-07-08,26.16,26.8,25.75,26.73,20055657.0
2016-07-15,27.16,27.37,26.64,27.01,40183128.0
2016-07-22,27.31,27.82,27.15,27.74,26834745.0
2016-07-29,27.49,28.49,27.49,27.78,33383264.0
2016-08-05,28.35,28.85,27.91,28.79,24086792.0
2016-08-12,28.76,29.45,28.71,29.24,31975393.0
2016-08-19,29.38,29.45,28.51,28.64,24395620.0
2016-08-26,28.3,28.9,28.22,28.64,26572977.0
2016-09-02,28.58,29.21,28.53,29.14,22419294.0
2016-09-09,29.51,30.55,28.55,28.59,32591877.0
2016-09-16,28.55,29.27,28.2,28.91,26879525.0
2016-09-23,29.91,30.96,29.87,30.12,31590781.0
2016-09-30,30.02,30.68,29.65,30.59,22787922.0
2016-10-07,30.64,31.21,30.36,31.18,22097442.0
2016-10-14,31.19,31.48,29.52,30.66,51058232.0
2016-10-21,30.52,31.15,30.38,31.08,27917161.0
2016-10-28,31.14,31.62,30.75,30.77,20104609.0
2016-11-04,30.93,31.2,30.02,30.24,20458049.0
2016-11-11,30.72,31.5,28.76,29.93,30764677.0
2016-11-18,29.28,30.02,28.77,29.47,36688568.0
2016-11-25,29.6,30.15,29.46,29.66,17387577.0
2016-12-02,29.71,29.94,28.34,28.86,33669888.0
2016-12-09,28.94,30.63,28.87,30.12,17927153.0
2016-12-16,29.97,30.64,29.38,29.48,23488719.0
2016-12-23,29.49,29.56,28.5,29.05,24519351.0
2016-12-30,29.0,29.32,28.62,28.75,14486658.0
2017-01-06,29.25,29.91,29.06,29.63,17622326.0
2017-01-13,29.79,30.3,28.98,29.44,40566801.0
2017-01-20,29.61,30.26,29.39,30.07,26992619.0
2017-01-27,30.31,31.45,30.21,31.25,33795509.0
2017-02-03,31.07,31.31,30.61,30.97,26250464.0
2017-02-10,30.95,30.97,30.17,30.71,29715645.0
2017-02-17,30.94,32.49,30.94,32.34,38232104.0
2017-02-24,32.39,32.47,31.47,31.92,17077876.0
2017-03-03,31.82,31.82,30.54,30.85,28029796.0
2017-03-10,30.8,31.52,30.71,31.06,25849578.0
2017-03-17,31.27,32.76,31.2,32.59,24169963.0
2017-03-24,32.8,33.53,32.37,32.81,29877287.0
2017-03-31,32.85,33.43,32.57,32.84,20200664.0
2017-04-07,32.94,33.33,32.7,32.87,18547064.0
2017-04-14,32.87,32.87,31.82,31.83,23231746.0
2017-04-21,32.04,32.14,31.49,32.08,23420429.0
2017-04-28,32.58,33.3,32.48,33.07,25389772.0
2017-05-05,33.16,34.44,33.14,34.42,25686524.0
2017-05-12,34.7,35.8,34.63,35.37,32476678.0
2017-05-19,35.36,35.39,34.39,35.2,35779720.0
2017-05-26,35.39,35.79,35.26,35.51,25463059.0
2017-06-02,35.68,36.23,35.1,36.18,20463490.0
2017-06-09,36.56,36.9,35.2,35.79,29903877.0
2017-06-16,35.2,35.95,35.01,35.87,30107377.0
2017-06-23,36.13,36.92,36.07,36.73,24656368.0
2017-06-30,36.44,36.52,34.53,34.96,33582742.0
2017-07-07,35.04,35.17,34.31,34.63,25435317.0
2017-07-14,34.61,36.35,34.55,36.25,38699089.0
2017-07-21,36.03,36.42,35.64,35.85,26723390.0
2017-07-28,36.11,36.61,35.7,35.86,24438480.0
2017-08-04,36.03,36.47,35.65,36.03,21574476.0
2017-08-11,36.3,36.96,35.34,36.14,18046172.0
2017-08-18,36.02,36.49,35.61,35.86,15489067.0
2017-08-25,35.91,37.06,35.63,36.85,14706887.0
2017-09-01,36.59,37.24,36.5,37.22,13676578.0
2017-09-08,37.38,37.68,36.64,37.5,17704058.0
2017-09-15,37.39,37.94,37.35,37.65,23423580.0
2017-09-22,37.87,38.43,37.44,37.77,28449801.0
2017-09-29,37.5,37.6,36.79,37.55,22761208.0
2017-10-06,37.83,38.85,37.76,38.46,16961358.0
2017-10-13,38.6,40.86,38.5,40.82,21284172.0
2017-10-20,40.88,41.72,40.5,41.12,24435637.0
2017-10-27,41.37,42.18,40.7,42.15,18531909.0
2017-11-03,42.36,42.66,41.59,42.19,19340935.0
2017-11-10,42.19,42.71,41.29,41.72,17594799.0
2017-11-17,41.72,42.42,41.28,42.07,12648064.0
2017-11-24,42.07,43.02,41.96,42.99,10664319.0
2017-12-01,41.66,41.68,39.0,39.7,34455550.0
2017-12-08,40.05,40.13,38.52,39.0,28771164.0
2017-12-15,39.19,39.65,39.08,39.5,20602395.0
2017-12-22,39.38,39.66,39.12,39.63,19238877.0
2017-12-29,39.31,40.22,38.81,39.65,12303367.0
2018-01-05,40.51,42.57,40.42,42.46,18011382.0
2018-01-12,42.4,42.5,40.72,41.19,23458560.0
2018-01-19,42.01,45.54,41.81,44.67,31017052.0
2018-01-26,46.0,46.57,45.03,45.72,31487397.0
2018-02-02,45.47,45.93,44.4,44.51,40997580.0
2018-02-09,44.05,44.81,39.96,41.47,50207194.0
2018-02-16,42.03,43.96,41.88,43.48,24866651.0
2018-02-23,43.08,44.16,42.18,43.9,27895768.0
2018-03-02,44.11,44.41,42.15,43.01,24815839.0
2018-03-09,43.05,44.6,42.87,44.59,28747193.0
2018-03-16,44.79,45.75,44.75,44.97,21924374.0
2018-03-23,44.72,44.91,42.58,42.58,26370312.0
2018-03-30,43.81,44.84,42.43,43.76,23596503.0
2018-04-06,43.34,44.28,42.26,42.42,24969300.0
2018-04-13,43.09,44.22,42.56,42.65,25877130.0
2018-04-20,42.81,43.01,38.82,38.95,57153712.0
2018-04-27,38.96,39.21,37.99,38.17,47193329.0
2018-05-04,38.69,38.94,37.3,38.59,34663384.0
2018-05-11,38.43,40.18,38.23,39.91,26598209.0
2018-05-18,40.13,40.55,38.28,38.42,27146908.0
2018-05-25,39.34,39.79,38.78,39.3,25949673.0
2018-06-01,38.49,39.2,38.02,39.2,25377810.0
2018-06-08,39.85,40.0,38.52,38.93,33237519.0
2018-06-15,39.0,39.89,38.55,38.69,31040568.0
2018-06-22,38.31,38.59,37.35,38.12,38014105.0
2018-06-29,36.3,36.77,35.35,36.56,35420465.0
2018-07-06,36.21,37.35,36.04,37.27,26680798.0
2018-07-13,37.87,38.04,36.9,37.77,27754933.0
2018-07-20,37.88,40.85,37.35,40.73,47186041.0
2018-07-27,40.82,41.92,40.31,41.45,33472378.0
2018-08-03,41.45,41.95,40.88,41.69,21953290.0
2018-08-10,41.2,42.11,40.79,41.03,26546006.0
2018-08-17,40.69,41.19,39.79,40.13,26966543.0
2018-08-24,40.02,41.41,39.9,41.24,20060452.0
2018-08-31,41.43,44.49,41.37,43.6,39578064.0
2018-09-07,43.26,45.24,43.19,44.88,35094553.0
2018-09-14,45.0,45.06,43.27,44.41,38985283.0
2018-09-21,43.63,44.43,43.35,44.06,26503990.0
2018-09-28,43.84,45.23,43.79,44.16,27520857.0
2018-10-05,44.55,44.96,41.16,41.63,27364527.0
2018-10-12,40.76,41.3,38.33,39.66,37098045.0
2018-10-19,39.47,40.09,38.34,38.45,40959861.0
2018-10-26,39.21,39.23,36.14,36.67,47585762.0
2018-11-02,37.17,39.49,35.97,38.78,49892560.0
2018-11-09,38.72,39.3,37.81,38.07,31959553.0
2018-11-16,37.86,38.57,36.66,36.87,56137629.0
2018-11-23,36.64,36.72,35.22,35.96,30919421.0
2018-11-30,36.71,38.37,36.39,37.59,31571403.0
2018-12-07,38.82,39.0,35.61,36.52,37534664.0
2018-12-14,36.31,37.7,36.07,36.53,34580050.0
2018-12-21,36.63,37.28,35.54,35.71,50882568.0
2018-12-28,35.6,37.68,35.27,37.14,28927471.0
2019-01-04,37.43,37.59,34.21,34.97,30840443.0
2019-01-11,35.01,36.77,34.64,36.61,34271069.0
2019-01-18,36.13,37.01,34.83,36.84,49484033.0
2019-01-25,36.5,38.26,36.1,38.14,47459580.0
2019-02-01,36.92,38.1,36.29,37.57,37878339.0
2019-02-08,37.5,38.82,37.38,37.79,25871915.0
2019-02-15,37.92,38.77,37.76,38.09,26846351.0
2019-02-22,38.22,39.51,38.1,39.39,21237560.0
2019-03-01,39.87,39.92,39.0,39.39,20687789.0
2019-03-08,39.33,39.33,37.94,38.2,21242732.0
2019-03-15,38.23,40.07,38.2,39.65,25783900.0
2019-03-22,39.86,41.24,39.6,40.43,26612613.0
2019-03-29,40.0,41.05,39.77,40.96,25930891.0
2019-04-05,41.08,42.34,40.74,42.23,26371393.0
2019-04-12,42.24,42.65,41.94,42.58,21229771.0
2019-04-19,42.62,45.64,42.46,45.4,37689363.0
2019-04-26,44.79,45.59,43.32,43.94,49261087.0
2019-05-03,43.85,45.14,43.25,44.71,35227001.0
2019-05-10,43.32,44.05,42.19,42.83,33983390.0
2019-05-17,41.37,42.33,40.09,40.25,35122595.0
2019-05-24,39.25,39.39,37.41,38.2,54069672.0
2019-05-31,38.13,38.97,37.18,38.35,34475696.0
2019-06-07,38.96,39.26,37.91,38.82,30252483.0
2019-06-14,39.49,40.6,37.83,37.84,32191333.0
2019-06-21,37.92,40.72,37.66,40.52,42497601.0
2019-06-28,39.56,40.07,38.91,39.17,34111787.0
2019-07-05,41.54,41.9,39.63,39.93,18182167.0
2019-07-12,39.58,41.27,39.24,41.23,27318962.0
2019-07-19,41.75,44.02,41.52,43.83,34960306.0
2019-07-26,44.2,44.88,43.38,43.46,29342269.0
2019-08-02,43.52,43.95,41.0,41.65,30262088.0
2019-08-09,40.41,42.18,39.78,41.41,26149739.0
2019-08-16,41.05,41.99,40.25,41.54,25586255.0
2019-08-23,42.16,42.64,40.86,40.95,21114536.0
2019-08-30,41.37,42.89,41.05,42.63,20000938.0
2019-09-06,42.15,44.51,41.57,43.71,17558549.0
2019-09-13,43.91,44.83,43.36,44.74,22750825.0
2019-09-20,44.53,45.22,43.87,43.87,22141421.0
2019-09-27,44.18,46.51,43.85,45.51,37199105.0
2019-10-04,46.57,47.85,46.12,47.42,32572840.0
2019-10-11,47.73,49.79,47.43,49.42,44189764.0
2019-10-18,49.42,51.21,49.12,49.28,44111245.0
2019-10-25,49.53,51.23,49.33,51.13,32175380.0
2019-11-01,51.4,52.1,51.05,52.1,22982303.0
2019-11-08,53.55,54.37,52.53,52.83,27390957.0
2019-11-15,52.39,53.39,52.03,53.29,24080895.0
2019-11-22,53.39,54.14,52.73,52.79,20738331.0
2019-11-29,53.09,54.06,52.8,53.09,13390533.0
2019-12-06,53.55,55.03,52.18,54.94,22879781.0
2019-12-13,55.05,59.52,54.32,58.25,40347865.0
2019-12-20,58.29,59.71,57.32,57.93,32225441.0
2019-12-27,58.03,58.71,57.54,58.46,9472842.0
2020-01-03,58.66,60.12,57.46,58.06,17959533.0
2020-01-10,57.6,59.71,56.74,58.86,25051459.0
2020-01-17,60.15,60.64,58.01,58.58,35591207.0
2020-01-24,57.99,59.0,56.61,57.73,32184675.0
2020-01-31,55.62,57.52,53.6,53.94,40121444.0
2020-02-07,54.35,58.28,54.14,56.2,30822286.0
2020-02-14,56.44,59.75,56.34,58.19,24903683.0
2020-02-21,56.1,57.94,55.51,55.59,27151339.0
2020-02-28,53.55,55.47,51.0,53.84,47254579.0
2020-03-06,54.37,57.09,53.83,55.07,48112863.0
2020-03-13,51.55,54.62,48.51,52.23,58207953.0
2020-03-20,46.34,48.56,42.7,44.53,56210569.0
2020-03-27,45.12,50.46,43.52,46.91,45907214.0
2020-04-03,47.18,49.03,46.3,47.06,29433700.0
2020-04-10,48.63,51.32,47.73,48.33,26652783.0
2020-04-17,48.74,54.19,47.96,53.69,49578257.0
