date,open,high,low,close,volume,wap,count
2016-07-28,141.36,143.03,141.19,142.76,1901457.0,142.531,14079
2016-07-29,141.85,143.9,141.6,143.2,2398191.0,143.251,16293
2016-08-01,143.42,144.16,143.04,143.51,1843407.0,143.46,13415
2016-08-02,143.81,143.97,142.34,143.17,2021244.0,142.984,14567
2016-08-03,143.33,143.62,142.42,142.88,1265719.0,142.956,9762
2016-08-04,143.1,143.48,142.26,142.71,1275379.0,142.782,9456
2016-08-05,143.37,143.54,142.4,142.99,1400241.0,142.894,10546
2016-08-08,142.61,143.07,141.86,142.13,1135597.0,142.265,8692
2016-08-09,142.55,143.13,141.68,141.82,1595873.0,142.217,11672
2016-08-10,141.87,142.34,140.93,142.19,1377424.0,141.712,10654
2016-08-11,142.24,143.06,141.44,142.63,1485664.0,142.484,11615
2016-08-12,142.19,143.14,141.5,142.88,1329416.0,142.585,9559
2016-08-15,142.96,143.11,141.49,141.62,1567868.0,142.038,11319
2016-08-16,141.15,141.61,140.33,141.08,1051657.0,140.911,8027
2016-08-17,141.25,141.91,140.66,141.71,1349929.0,141.296,9933
2016-08-18,141.67,142.84,141.27,142.17,1091808.0,142.281,7889
2016-08-19,141.65,142.25,141.22,142.04,1514414.0,141.864,9576
2016-08-22,142.11,143.0,141.71,142.09,1116175.0,142.335,8184
2016-08-23,142.55,142.87,141.75,142.01,1821056.0,142.093,11750
2016-08-24,142.0,142.08,139.51,139.87,1878454.0,140.575,14020
2016-08-25,139.72,139.75,137.03,137.3,3056123.0,138.046,20996
2016-08-26,137.67,138.3,135.99,136.62,2374110.0,136.94,19006
2016-08-29,137.2,138.04,136.48,137.27,1778633.0,137.373,12788
2016-08-30,137.01,137.69,136.24,136.87,1509833.0,136.688,11177
2016-08-31,136.55,136.82,135.55,136.05,1726899.0,136.101,12695
2016-09-01,136.46,136.98,135.35,135.74,2136619.0,135.77,15919
2016-09-02,136.5,136.78,135.76,136.61,1800521.0,136.39,12786
2016-09-06,136.62,136.85,135.63,135.97,1509080.0,136.063,11168
2016-09-07,135.0,135.96,134.2,134.99,2192964.0,135.015,15930
2016-09-08,134.47,135.62,134.41,135.44,1970154.0,135.229,14240
