date,open,high,low,close,volume
2016-07-29,141.36,143.9,141.19,143.2,4299648.0
2016-08-05,143.42,144.16,142.26,142.99,7805990.0
2016-08-12,142.61,143.14,140.93,142.88,6923974.0
2016-08-19,142.96,143.11,140.33,142.04,6575676.0
2016-08-26,142.11,143.0,135.99,136.62,10245918.0
2016-09-02,137.2,138.04,135.35,136.61,8952505.0
2016-09-09,136.62,136.85,133.62,133.62,7945701.0
2016-09-16,132.7,138.55,132.39,138.47,16887917.0
2016-09-23,138.68,141.78,137.05,140.51,11627792.0
2016-09-30,139.95,141.71,137.84,140.0,9460450.0
2016-10-07,139.35,139.72,135.66,136.66,12766031.0
2016-10-14,136.97,138.35,133.61,133.92,13564504.0
2016-10-21,133.94,146.36,133.03,145.37,23210545.0
2016-10-28,146.0,146.22,139.44,140.35,12983816.0
2016-11-04,140.88,141.54,137.65,137.71,11867199.0
2016-11-11,139.97,147.5,136.22,146.42,20659612.0
2016-11-18,147.32,153.96,147.04,149.45,19730498.0
2016-11-25,149.72,154.5,148.56,152.81,10239150.0
2016-12-02,152.7,162.52,150.0,160.73,20025068.0
2016-12-09,160.19,160.67,156.23,160.12,15282494.0
2016-12-16,158.83,164.0,157.75,163.94,15757557.0
2016-12-23,163.09,163.94,159.62,163.03,10843396.0
2016-12-30,163.26,163.96,159.85,160.04,5646068.0
2017-01-06,161.13,162.94,159.15,162.41,8241541.0
2017-01-13,162.0,162.98,160.5,161.8,11259418.0
2017-01-20,162.61,162.97,156.09,158.66,15289241.0
2017-01-27,158.62,163.8,156.56,162.99,13438152.0
2017-02-03,162.94,163.9,160.01,161.87,12562598.0
2017-02-10,161.51,162.53,159.41,160.75,9802215.0
2017-02-17,160.59,164.97,156.49,157.62,20185929.0
2017-02-24,157.62,163.09,157.52,163.06,9830766.0
2017-03-03,163.16,168.6,162.81,168.2,11546167.0
2017-03-10,167.43,170.0,166.8,169.98,9365193.0
2017-03-17,169.99,172.14,168.5,169.7,12198997.0
2017-03-24,169.93,170.24,164.35,165.0,15072299.0
2017-03-31,163.92,166.07,162.74,164.01,16780884.0
2017-04-07,164.62,167.26,164.25,166.02,11699367.0
2017-04-14,166.19,167.0,164.6,164.96,8510352.0
2017-04-21,164.99,172.62,164.96,171.16,17088037.0
2017-04-28,172.66,176.07,171.7,174.88,9359715.0
2017-05-05,175.0,176.14,170.27,174.12,11929605.0
2017-05-12,173.93,174.77,171.52,171.81,6609893.0
2017-05-19,171.79,173.98,166.65,172.59,14861515.0
2017-05-26,173.0,178.89,172.7,177.5,8096635.0
2017-06-02,177.54,179.92,174.92,179.39,7309617.0
2017-06-09,179.65,183.76,178.48,181.46,9228730.0
2017-06-16,181.01,183.5,176.42,181.63,10749388.0
2017-06-23,182.25,188.66,180.76,185.25,10522367.0
2017-06-30,185.13,186.8,183.39,185.42,7227115.0
2017-07-07,186.29,188.43,185.72,187.96,5270565.0
2017-07-14,187.33,188.0,184.77,186.9,9570692.0
2017-07-21,187.07,193.0,183.86,191.78,13085793.0
2017-07-28,191.79,192.45,187.6,191.15,7705902.0
2017-08-04,191.59,196.04,191.14,194.88,9897235.0
2017-08-11,194.81,195.41,192.4,193.02,7266338.0
2017-08-18,194.6,195.27,190.63,190.82,7480204.0
2017-08-25,190.88,195.54,190.88,194.36,5607652.0
2017-09-01,194.59,199.99,194.33,199.75,6784393.0
2017-09-08,199.2,200.44,197.0,197.75,7281921.0
2017-09-15,199.25,200.76,196.91,198.18,9648324.0
