date,open,high,low,close,volume
2016-08-08,24.67,24.69,24.35,24.45,19731600
2016-08-09,24.45,24.63,24.36,24.51,19283700
2016-08-10,24.52,24.84,24.46,24.65,0
2016-08-11,24.83,24.93,24.51,24.6,18870900
2016-08-12,24.6,24.71,24.52,24.63,29982600
2016-08-15,24.6,24.67,24.37,24.44,28908300
2016-08-16,24.2,24.44,24.07,24.3,29289900
2016-08-17,24.0,24.32,24.0,24.31,43029900
2016-08-18,24.31,25.06,24.31,24.77,80574900
2016-08-19,24.7,24.76,24.22,24.27,46039200
2016-08-22,24.35,24.38,24.15,24.23,30936300
2016-08-23,24.3,24.36,23.99,23.99,28174200
2016-08-24,23.99,24.25,23.92,24.08,30152100
2016-08-25,24.12,24.19,23.68,23.74,31542600
2016-08-26,23.8,23.9,23.63,23.71,30115500
2016-08-29,23.71,23.89,23.7,23.8,22404300
2016-08-30,23.8,23.92,23.72,23.77,17322600
2016-08-31,23.82,23.88,23.72,23.81,18934800
2016-09-01,23.86,24.29,23.8,24.28,35284200
2016-09-02,24.33,24.4,24.14,24.17,24248700
2016-09-06,24.25,24.36,24.07,24.33,28712700
2016-09-07,24.33,24.35,24.0,24.02,28854900
2016-09-08,23.96,24.11,23.9,23.94,28983600
2016-09-09,23.77,23.84,23.43,23.43,36517800
2016-09-12,23.6,24.08,23.57,23.98,32592000
2016-09-13,23.95,23.97,23.72,23.82,22523700
2016-09-14,23.87,24.02,23.8,23.84,20941500
2016-09-15,23.83,24.19,23.75,24.13,21886800
2016-09-16,24.11,24.32,24.07,24.29,41807100
2016-09-19,24.21,24.29,24.03,24.03,20762100
2016-09-20,24.05,24.18,23.97,23.99,17731800
2016-09-21,24.06,24.18,23.84,24.06,20027700
2016-09-22,24.14,24.18,24.0,24.09,17615700
2016-09-23,24.2,24.26,24.11,24.12,23089200
2016-09-26,24.1,24.11,23.84,23.87,17846100
2016-09-27,23.98,24.16,23.86,24.11,19033200
2016-09-28,24.07,24.11,23.79,23.93,18554700
2016-09-29,23.86,23.9,23.54,23.58,23990400
2016-09-30,23.83,24.15,23.8,24.04,29947800
2016-10-03,23.94,24.05,23.87,24.0,17573100
2016-10-04,24.0,24.19,23.85,23.92,19707900
2016-10-05,23.96,24.09,23.87,23.89,19393200
2016-10-06,23.89,23.89,22.96,23.12,60330900
2016-10-07,23.09,23.16,22.72,22.9,37961400
2016-10-10,22.92,22.99,22.58,22.66,26965200
2016-10-11,22.65,22.65,22.43,22.46,25774500
2016-10-12,22.58,22.64,22.46,22.49,26822100
2016-10-13,22.4,22.85,22.36,22.74,27581400
2016-10-14,22.81,22.94,22.74,22.82,19248000
2016-10-17,22.88,22.88,22.6,22.74,22480200
2016-10-18,22.86,22.99,22.74,22.96,23573100
2016-10-19,23.07,23.11,22.9,22.96,21369900
2016-10-20,22.99,23.03,22.86,22.91,18882000
2016-10-21,22.78,22.88,22.66,22.78,23533800
2016-10-24,22.87,23.12,22.8,23.06,21490800
2016-10-25,23.0,23.29,23.0,23.12,22889100
2016-10-26,23.1,23.27,23.05,23.2,15151500
2016-10-27,23.2,23.33,23.13,23.28,21394800
2016-10-28,23.27,23.4,23.24,23.33,20858700
2016-10-31,23.35,23.39,23.28,23.34,19167000
2016-11-01,23.33,23.35,23.05,23.1,26515800
2016-11-02,23.07,23.32,23.07,23.15,22935900
2016-11-03,23.21,23.36,23.12,23.21,20411700
2016-11-04,23.24,23.31,23.04,23.05,21786300
2016-11-07,23.21,23.28,23.05,23.26,29266200
2016-11-08,23.24,23.35,23.16,23.26,22863900
2016-11-09,23.1,23.83,23.1,23.7,50338500
2016-11-10,23.75,24.03,23.67,23.8,42963900
2016-11-11,23.7,23.76,23.53,23.74,24671700
2016-11-14,23.72,23.77,23.4,23.5,38752500
2016-11-15,23.6,23.81,23.45,23.81,29175300
2016-11-16,23.92,24.02,23.78,23.8,33577200
2016-11-17,23.03,23.17,22.71,23.06,70320900
